,job_title,company,location,job_desc,skills
0,Business Analyst,Flipkart," Bengaluru, Karnataka, India ","About the job
As an Analyst in the Air Category Team, you will play a critical role in monitoring and formulating the pricing on Cleartrip platform , analyzing the data, benchmarking against the key competition, drive data-driven optimizations and insights on day to day basis and work closely with multiple stakeholders across Bizfin, Category and Supplier relations team




Key Responsibilities




Support business decisions by - formulating hypothesis, structuring the problem, analyze relevant data to verify hypothesis and prepare documentation to communicate the results with insights
Monitor key business, product and tech metrics such as Airline mix , Segment/ Booking Volumes, Net Revenue, Revenue per Segment ( RPS ), Marketing/ Discounts per Segment across various parameters & take/recommend corrective actions
Product: Monitor trends in consumer behavior of VAS( Insurance , Seat , meal baggage ) across stages of the product funnel, prepare and document analysis and insights
Operations: Own the offers creation, monitoring and merchandising along with competition insights end-to-end and back the end-results with data backed analyses
Automation: Create various dashboards, alerts and datasets to visualize, and drive actionable insights quickly
Reporting: Performance reporting to internal and external stakeholders




Desired Candidate




Bachelors in Engineering, Computer science, Math, Statistics or related disciplines or an MBA in the relevant field
Previous experience in Data Analytics, Business analysis preferable
2+ years of experience in relevant role, prior online and travel experience preferred
Result oriented and ownership-driven, can own a process end to end with strong attention to detail
Strong analytical skills, high level of comfort with numbers.
Experience with web analytics, data mining & BI tools (GA, SQL, MS Office/Excel/Access, R/ Python, Tableau / Qliksense / Qlikview / PowerBI)
Self-starter with excellent communication, data presentation, interpersonal and analytical skills
Ability to communicate effectively with different functional teams and levels to lead the achievement of the objective
Demonstrated strong performance in prior roles with outstanding execution, analytical and problem-solving skills",[]
1,Programme Manager – Bhumi Fellowship,," Chennai, Tamil Nadu, India ","About the job

The Bhumi Fellowship is designed to bring in smart young people to transform the Indian schooling system. Through this two-year journey, we aim to positively impact the lives of one million children in the next decade.

This professional programme will develop the youth into change facilitators who enable schools to function better as an eco-system. The fellows will be placed in government and other low-income schools. The fellows will focus on professional development of teachers, leadership development of school leaders and whole school transformation.

The person will manage the fellowship programme while being the nodal point to all stakeholders at the school, fellows, partners, donors and Bhumi.




Roles & Responsibilities of Programme Manager

Work alongside the Senior Manager in program implementation by leading a team of Fellows to bring about whole school transformation in low income private/ government schools
Design the structures that will create a supportive ecosystem for Fellows, enabling them to effectively teach, design interventions for their stakeholders and strategise for whole school transformation
Empower the team by developing their skills and competencies through regular learning and development spaces
Build a culture of ownership, collaboration and excellence within the team by creating and driving effective systems and processes
Facilitate the collection and interpretation of student, stakeholder and school level data to make short and long-term strategic decisions
Build partnerships with stakeholders including the school management, the government and donors to ensure the long-term sustainability of our efforts
Contribute to broader fellowship priorities such as fellow recruitment and selection, strategy, donor reporting and expansion




Preferred Education Qualification / Experience:

Experience of managing people/projects
Teaching and/or content creation experience is desirable
Any Graduate, post-graduate or fellowship
Experience in managing/designing a fellowship would be an advantage




Knowledge, Skills and Abilities:

Prior experience teaching in a formal classroom & an ability to coach people to be exceptional teachers
Ability to design and drive outcome-oriented plans through the team’s collective effort
Ability to design and facilitate adult learning spaces
Ability to gather and analyse data to inform decisions
A good understanding of the education ecosystem including policies, curriculum frameworks and functioning of school systems.
Good written and verbal communication skills in English and Tamil.
Good computer knowledge and MS Office skills.
Emotional maturity to work with the perspectives and needs of diverse team members
Highly resourceful team-player, who is also self-driven.
Forward looking thinker, who actively seeks opportunities and proposes solutions




Other Information:

Scope: Full time
Reporting to: Senior Manager, Bhumi Fellowship
Remuneration: Rs.5.5-6.5 lakhs per annum, negotiable based on candidate’s profile
Expected Joining Date: May2023
Location: Chennai
Minimum commitment: Three years",[]
2,Business Analyst,Flipkart," Bengaluru, Karnataka, India ","About the job
As an Analyst in the Air Category Team, you will play a critical role in monitoring and formulating the pricing on Cleartrip platform , analyzing the data, benchmarking against the key competition, drive data-driven optimizations and insights on day to day basis and work closely with multiple stakeholders across Bizfin, Category and Supplier relations team




Key Responsibilities




Support business decisions by - formulating hypothesis, structuring the problem, analyze relevant data to verify hypothesis and prepare documentation to communicate the results with insights
Monitor key business, product and tech metrics such as Airline mix , Segment/ Booking Volumes, Net Revenue, Revenue per Segment ( RPS ), Marketing/ Discounts per Segment across various parameters & take/recommend corrective actions
Product: Monitor trends in consumer behavior of VAS( Insurance , Seat , meal baggage ) across stages of the product funnel, prepare and document analysis and insights
Operations: Own the offers creation, monitoring and merchandising along with competition insights end-to-end and back the end-results with data backed analyses
Automation: Create various dashboards, alerts and datasets to visualize, and drive actionable insights quickly
Reporting: Performance reporting to internal and external stakeholders




Desired Candidate




Bachelors in Engineering, Computer science, Math, Statistics or related disciplines or an MBA in the relevant field
Previous experience in Data Analytics, Business analysis preferable
2+ years of experience in relevant role, prior online and travel experience preferred
Result oriented and ownership-driven, can own a process end to end with strong attention to detail
Strong analytical skills, high level of comfort with numbers.
Experience with web analytics, data mining & BI tools (GA, SQL, MS Office/Excel/Access, R/ Python, Tableau / Qliksense / Qlikview / PowerBI)
Self-starter with excellent communication, data presentation, interpersonal and analytical skills
Ability to communicate effectively with different functional teams and levels to lead the achievement of the objective
Demonstrated strong performance in prior roles with outstanding execution, analytical and problem-solving skills",[]
3,Senior Consultant - Data Science,AstraZeneca," Chennai, Tamil Nadu, India ","About the job
JOB TITLE: SENIOR CONSULTANT

CAREER LEVEL: D1

Embrace novel and varied challenges working across the business

Be connected to different functions, areas and roles across the business. We are supported by leaders in our aspiration to break down boundaries and draw on inter-functional learnings. It means we get to face interesting business problems and varied data. One day working along the whole development cycle from molecules to delivery, the next supporting HR processes or medicine launches

About Astrazeneca

AstraZeneca is a global, science-led, patient-focused biopharmaceutical company that focuses on the discovery, development and commercialisation of prescription medicines for some of the world’s most serious disease. But we’re more than one of the world’s leading pharmaceutical companies. At AstraZeneca we’re dedicated to being a Great Place to Work.

About The Team

A team of deep specialists, our skills range from mathematics to computation. Our diversity is our strength. We turn complex information into lifechanging and practical insights, every day. Our progressive operating model means that we stay at the forefront. Evolving and learning from what we’re seeing externally. We impact patient’s lives. Empowering and enabling the business to run faster and better, we play a part in improving lives across the world

About The Role

We are looking for an experienced Senior data scientist to lead our efforts around Data Science and AI capabilities for AZ Commercial Data Science & AI Team based out of our India offices.

You will work in partnership with AZ business and medical experts across multiple disease areas, Brands & Indications. You will work with AZ Internal and External Datasets to extract multiple layers of intelligence powered by machine learning, natural language processing, and knowledge graphs to support commercialization of new medicines. You will be part of a global team of data scientists and domain experts involved in creating tools that will advance and transform healthcare delivery in improving the lives of millions of patients across the globe.

You will be a lead Data Scientist to advance our data science & machine learning models in order to extract layers of intelligence from vast quantities of structured and unstructured Data ((Patient, Physician, Health Systems, AZ Internal Sales and Marketing Data , Scientific content, Social etc. )

The ideal candidate will possess a blend of computational science skills, successful experience building quality data science-based algorithms & applications and a great track record of applying data science to real-world problems in variety of industries including Healthcare.

Key Accountabilities


Build, develop and lead capability for a team of high performing Data Scientists
Co-ordinate and work as part of the wider cross functional team including Data Science & AI , Commercial, Medical , IT across the globe
Research and apply the latest algorithms and methods to relevant business problems
Integrate internal & external structured & unstructured data into knowledge bases
Help in the design and creation of AZ knowledge graph
Work closely with other data teams (data engineering, informatics, data analysis, search) to help other teams to access and leverage data science to answer research questions
Collaborate with our partners in Commercial and business teams to build scalable data Science solutions
Be the point of contact for driving collaborations with local data science companies


Candidate Knowledge, Skills And Experience

Minimum requirement:


BS (or equivalent number of years experience) in mathematics, computer science, engineering, physics, statistics, computational sciences, or a related quantitative discipline.


Desirable:


Master or PhD in ML or Computer Science in mathematics, computer science, engineering, physics, statistics, computational sciences While we value those educational background, we prioritize those with the right skills to come work with us that have the skills in Data Science.
Experience working on structured and unstructured data, text and image problems in data science.
A track record of independently leading data science projects to tackle business or scientific problems.
Exceptional skills in Python.
Familiarity with database systems, such as SQL, NoSQL
You will be expected to help to coach and nurture other junior Data Scientists


Needed Prior Experience / understanding with 3-5 years’ experience (foundational tools) & familiarity with recent tools:

Mandatory Technical Skills:


Technology & Tools: Python, Jupyter notebook, Scikit-learn, SQL, StreamLit
Deep Learning tools: Pytorch/Tensorflow
Machine Learning: Classical Machine learning (Supervised and Unsupervised Methods),


including classification and regression algorithms such as k-means clustering, support

vector machines, and random forests.


Deep Learning: Fully Connected Architecture, Convolutional Networks, RNN/LSTM, Transformers (nice to have).


Good to have:


Pipeline Tools: Airflow/Luigi, MLFlow, Great Expectations
ML Production Tools: Docker, Kubeflow (Familiarity and desire to learn)
Reinforcement Learning


Other Key Focus:


Desire & Curiosity to Learn New technologies/methods in Data Science.
Working knowledge of cloud environments (AWS preferred), Hadoop/Spark
Ability to explain complex methods and techniques to a non-technical audience
Ability to collaborate closely with cross-functional teams
Good communication, written and verbal skills, fluent English.


WHY JOIN US ?

A place to do important work. We connect across the whole business to power each function to better influence patient outcomes and improve their lives. Impactful and valuable, this is where you come to raise your profile and do good for others. Rise to the challenge of shaping the future of an evolving business in the technology space.

SO, WHAT’S NEXT?

Are you already envisioning yourself joining our team? Good, because we’d love to hear from you! Click the link to apply and we’ll be in touch as soon as we can.

WHERE CAN I FIND OUT MORE?

Our Social Media, Follow AstraZeneca on LinkedIn https://www.linkedin.com/company/1603/

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, sex, gender, gender expression, sexual orientation, age, marital status, veteran status, or disability status.",[]
4,"Principal Engineer I, SW",HARMAN International," Chennai, Tamil Nadu, India ","About the job
C, C++ with Linux and Android




Will be responsible to implementing the platform software for middleware
Will have to contribute to design and Architecture
Will be responsible to do customer requirement analysis
Will have to help ram up new recruits on technical front
Will be responsible to independently own and execute core framework modules
Should be enthusiastic to learn new technologies also.
Should have an innovative mindset towards problems.",[]
5,Senior Application Security Engineer,Applied Materials," Chennai, Tamil Nadu, India ","About the job
Applied Materials, Inc. is the leader in materials engineering solutions used to produce virtually every new chip and advanced display in the world. Information Security threat landscape continues to remain increasingly complex and require constant vigilance to secure a large, global enterprises. Applied has an exciting opportunity to join a world-class information security team.




This position is part of the Information Security and Risk Management team and will lead efforts in managing and mitigating information security related risk activities. This position will assist information security and privacy team members and partner with various Business Units (Product) and Information Technology group to build and maintain processes and tools to effectively manage application related risks.




This candidate will be expected to have a solid foundation in managing application security policies and procedures, have strong analytical and presentation skills, experience in leading & managing global teams. The selected candidate will play a critical role in coordination and project management between product teams and Information Technology group. This selected candidate will also help create corporate strategy, review policy, procedures, and training related to application security and information governance.




Key Responsibilities




Partner with various stake holder groups, to promote and build a culture of security and ensure applications are designed and built securely
Partner with software development teams across Applied to conduct and implement secure SDLC concepts such as training, identify security requirements, threat modeling, code/design reviews, and security testing
Partner with software development teams to implement processes and tools to enable code analysis, vulnerability assessment, open source license compliance
Have considerable experience in performing application security/penetration testing using manual and automated tools.
Ability to interpret security tools and penetration testing results to stakeholders and provide advice on vulnerability remediation and risk mitigation
Should have good understanding of DevSecOps concepts/principles and cloud native services, to enable secure development and deployment of applications in the Cloud
Work with Information Security and Information Technology teams to build & maintain controls to manage varied risks including application and cyber risks
Work with a global team to help implement and monitor security controls to proactively identify application security issues
Create relevant documentation and metrics to your stakeholders and business leaders and deliver these in a clear, concise manner.




Qualifications




Bachelor's degree or equivalent experience in Security
Minimum 6 to 8 years of experience in Application security
A thorough understanding of OWASP application security tools, code libraries and documentation.
Understanding of threat modeling, security vulnerabilities, attacker exploit techniques, and methods for their remediation.
Familiarity with the tools for various security activities: Static Code Analysis, DAST Penetration Testing, Intrusion Detection/Prevention, etc.
Experience with web application penetration testing
Experience in performing source code review
Working knowledge of one scripting language and or familiarity with at least one software programming language and a framework is a plus
Excellent written and verbal communication skills with the ability to adapt messaging to executive, technical, and non-technical audiences.
Certification in any security area is a plus




Qualifications




Education:




Bachelor's Degree




Skills




Certifications:




Languages:




Years of Experience:




7 - 10 Years




Work Experience:




Additional Information




Travel:




Yes, 10% of the Time




Relocation Eligible:




Yes




Applied Materials is an Equal Opportunity Employer committed to diversity in the workplace. All qualified applicants will receive consideration for employment without regard to race, color, national origin, citizenship, ancestry, religion, creed, sex, sexual orientation, gender identity, age, disability, veteran or military status, or any other basis prohibited by law.",[]
6,Associate Engineer - MSTR,AstraZeneca," Chennai, Tamil Nadu, India ","About the job
JOB TITLE: ASSOCIATE ENGINEER

CAREER LEVEL: C1

Leverage technology to impact patients and ultimately save lives

Do you have expertise in, and passion for, information technology? Would you like to apply your expertise to impact the IT strategy in a company that follows the science and turns ideas into life changing medicines? If so, AstraZeneca might be the one for you!

About Astrazeneca

AstraZeneca is a global, science-led, patient-focused biopharmaceutical company that focuses on the discovery, development and commercialisation of prescription medicines for some of the world’s most serious disease. But we’re more than one of the world’s leading pharmaceutical companies. At AstraZeneca we’re dedicated to being a Great Place to Work.

About Our It Team

It’s a dynamic and results-oriented environment to work in – but that’s why we like it. There are countless opportunities to learn and grow, whether that’s exploring new technologies in hackathons, or redefining the roles and work of colleagues, forever. Shape your own path, with support all the way. Diverse minds that work cross- functionally and broadly together.

About The Role


Being flexible to work in shifts and extend helping hands during critical times.
Coordinate activities with data source application owners to ensure integration, data integrity and data quality. Provide production support for all Reporting Processes. Maintain and manage technical metadata and documentation for data warehousing and Reporting processes
Ensure the data is delivered to the customers at the right time as per agreed SLA.
Accountable for job monitoring, execution, troubleshoot any issues, identify the root cause and fix any bugs as and when required.
Address any queries raised by the business in a timely manner and within the stipulated SLA time.
Monitor Service now for any user created tickets and resolve within the SLA agreed upon.
Strive to identify opportunity of improvements in the application and develop expertise on implementing any continuous improvements.
Proactively raise any gaps identified during the operations and follow up with the concerned team until closure.
Coordinate with upstream/downstream application teams and the key stakeholders for any data issues, outages or impact arising due to any changes.
Ensure that a thorough impact analysis and testing is carried out for any upstream changes impacting the application.
Ensure that the defined metrics of AZ are adhered.
Helps in creating necessary supporting documents for the applications.
Send out appropriate status updates as and when required.


Mandatory skills :


Technical hands on experience in Microstrategy & Redshift


Desired skills :


Experience of working in Sales & Marketing Portfolio preferably in Life Sciences Industry.
Excellent communication and interpersonal skills
Excellent spoken and written English language skills
Willing to learn & embrace latest technologies in Business Intelligence Space.


WHY JOIN US?

We’re a network of high-reaching self-starters who contribute to something far bigger. We enable AstraZeneca to perform at its peak by delivering premier technology and data solutions.

We’re not afraid to take ownership and run with it. Empowered with unrivalled freedom. Put simply, it’s because we make a significant impact. Everything we do matters.

SO, WHAT’S NEXT?

Are you already envisioning yourself joining our team? Good, because we’d love to hear from you! Click the link to apply and we’ll be in touch as soon as we can.

WHERE CAN I FIND OUT MORE?

Our Social Media, Follow AstraZeneca on LinkedIn https://www.linkedin.com/company/1603/

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, sex, gender, gender expression, sexual orientation, age, marital status, veteran status, or disability status.",[]
7,Associate Engineer - MSTR,AstraZeneca," Chennai, Tamil Nadu, India ","About the job
JOB TITLE: ASSOCIATE ENGINEER

CAREER LEVEL: C1

Leverage technology to impact patients and ultimately save lives

Do you have expertise in, and passion for, information technology? Would you like to apply your expertise to impact the IT strategy in a company that follows the science and turns ideas into life changing medicines? If so, AstraZeneca might be the one for you!

About Astrazeneca

AstraZeneca is a global, science-led, patient-focused biopharmaceutical company that focuses on the discovery, development and commercialisation of prescription medicines for some of the world’s most serious disease. But we’re more than one of the world’s leading pharmaceutical companies. At AstraZeneca we’re dedicated to being a Great Place to Work.

About Our It Team

It’s a dynamic and results-oriented environment to work in – but that’s why we like it. There are countless opportunities to learn and grow, whether that’s exploring new technologies in hackathons, or redefining the roles and work of colleagues, forever. Shape your own path, with support all the way. Diverse minds that work cross- functionally and broadly together.

About The Role


Being flexible to work in shifts and extend helping hands during critical times.
Coordinate activities with data source application owners to ensure integration, data integrity and data quality. Provide production support for all Reporting Processes. Maintain and manage technical metadata and documentation for data warehousing and Reporting processes
Ensure the data is delivered to the customers at the right time as per agreed SLA.
Accountable for job monitoring, execution, troubleshoot any issues, identify the root cause and fix any bugs as and when required.
Address any queries raised by the business in a timely manner and within the stipulated SLA time.
Monitor Service now for any user created tickets and resolve within the SLA agreed upon.
Strive to identify opportunity of improvements in the application and develop expertise on implementing any continuous improvements.
Proactively raise any gaps identified during the operations and follow up with the concerned team until closure.
Coordinate with upstream/downstream application teams and the key stakeholders for any data issues, outages or impact arising due to any changes.
Ensure that a thorough impact analysis and testing is carried out for any upstream changes impacting the application.
Ensure that the defined metrics of AZ are adhered.
Helps in creating necessary supporting documents for the applications.
Send out appropriate status updates as and when required.


Mandatory skills :


Technical hands on experience in Microstrategy & Redshift


Desired skills :


Experience of working in Sales & Marketing Portfolio preferably in Life Sciences Industry.
Excellent communication and interpersonal skills
Excellent spoken and written English language skills
Willing to learn & embrace latest technologies in Business Intelligence Space.


WHY JOIN US?

We’re a network of high-reaching self-starters who contribute to something far bigger. We enable AstraZeneca to perform at its peak by delivering premier technology and data solutions.

We’re not afraid to take ownership and run with it. Empowered with unrivalled freedom. Put simply, it’s because we make a significant impact. Everything we do matters.

SO, WHAT’S NEXT?

Are you already envisioning yourself joining our team? Good, because we’d love to hear from you! Click the link to apply and we’ll be in touch as soon as we can.

WHERE CAN I FIND OUT MORE?

Our Social Media, Follow AstraZeneca on LinkedIn https://www.linkedin.com/company/1603/

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, sex, gender, gender expression, sexual orientation, age, marital status, veteran status, or disability status.","['Analytical Skills', 'Communication', 'Amazon Redshift', 'Change Impact Analysis', 'Computer-Aided Design (CAD)', 'English', 'Interpersonal Skills', 'MicroStrategy', 'Root Cause', 'Troubleshooting']"
8,Associate Engineer - MSTR,AstraZeneca," Chennai, Tamil Nadu, India ","About the job
JOB TITLE: ASSOCIATE ENGINEER

CAREER LEVEL: C1

Leverage technology to impact patients and ultimately save lives

Do you have expertise in, and passion for, information technology? Would you like to apply your expertise to impact the IT strategy in a company that follows the science and turns ideas into life changing medicines? If so, AstraZeneca might be the one for you!

About Astrazeneca

AstraZeneca is a global, science-led, patient-focused biopharmaceutical company that focuses on the discovery, development and commercialisation of prescription medicines for some of the world’s most serious disease. But we’re more than one of the world’s leading pharmaceutical companies. At AstraZeneca we’re dedicated to being a Great Place to Work.

About Our It Team

It’s a dynamic and results-oriented environment to work in – but that’s why we like it. There are countless opportunities to learn and grow, whether that’s exploring new technologies in hackathons, or redefining the roles and work of colleagues, forever. Shape your own path, with support all the way. Diverse minds that work cross- functionally and broadly together.

About The Role


Being flexible to work in shifts and extend helping hands during critical times.
Coordinate activities with data source application owners to ensure integration, data integrity and data quality. Provide production support for all Reporting Processes. Maintain and manage technical metadata and documentation for data warehousing and Reporting processes
Ensure the data is delivered to the customers at the right time as per agreed SLA.
Accountable for job monitoring, execution, troubleshoot any issues, identify the root cause and fix any bugs as and when required.
Address any queries raised by the business in a timely manner and within the stipulated SLA time.
Monitor Service now for any user created tickets and resolve within the SLA agreed upon.
Strive to identify opportunity of improvements in the application and develop expertise on implementing any continuous improvements.
Proactively raise any gaps identified during the operations and follow up with the concerned team until closure.
Coordinate with upstream/downstream application teams and the key stakeholders for any data issues, outages or impact arising due to any changes.
Ensure that a thorough impact analysis and testing is carried out for any upstream changes impacting the application.
Ensure that the defined metrics of AZ are adhered.
Helps in creating necessary supporting documents for the applications.
Send out appropriate status updates as and when required.


Mandatory skills :


Technical hands on experience in Microstrategy & Redshift


Desired skills :


Experience of working in Sales & Marketing Portfolio preferably in Life Sciences Industry.
Excellent communication and interpersonal skills
Excellent spoken and written English language skills
Willing to learn & embrace latest technologies in Business Intelligence Space.


WHY JOIN US?

We’re a network of high-reaching self-starters who contribute to something far bigger. We enable AstraZeneca to perform at its peak by delivering premier technology and data solutions.

We’re not afraid to take ownership and run with it. Empowered with unrivalled freedom. Put simply, it’s because we make a significant impact. Everything we do matters.

SO, WHAT’S NEXT?

Are you already envisioning yourself joining our team? Good, because we’d love to hear from you! Click the link to apply and we’ll be in touch as soon as we can.

WHERE CAN I FIND OUT MORE?

Our Social Media, Follow AstraZeneca on LinkedIn https://www.linkedin.com/company/1603/

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, sex, gender, gender expression, sexual orientation, age, marital status, veteran status, or disability status.","['Analytical Skills', 'Communication', 'Amazon Redshift', 'Change Impact Analysis', 'Computer-Aided Design (CAD)', 'English', 'Interpersonal Skills', 'MicroStrategy', 'Root Cause', 'Troubleshooting']"
9,Associate Engineer - MSTR,AstraZeneca," Chennai, Tamil Nadu, India ","About the job
JOB TITLE: ASSOCIATE ENGINEER

CAREER LEVEL: C1

Leverage technology to impact patients and ultimately save lives

Do you have expertise in, and passion for, information technology? Would you like to apply your expertise to impact the IT strategy in a company that follows the science and turns ideas into life changing medicines? If so, AstraZeneca might be the one for you!

About Astrazeneca

AstraZeneca is a global, science-led, patient-focused biopharmaceutical company that focuses on the discovery, development and commercialisation of prescription medicines for some of the world’s most serious disease. But we’re more than one of the world’s leading pharmaceutical companies. At AstraZeneca we’re dedicated to being a Great Place to Work.

About Our It Team

It’s a dynamic and results-oriented environment to work in – but that’s why we like it. There are countless opportunities to learn and grow, whether that’s exploring new technologies in hackathons, or redefining the roles and work of colleagues, forever. Shape your own path, with support all the way. Diverse minds that work cross- functionally and broadly together.

About The Role


Being flexible to work in shifts and extend helping hands during critical times.
Coordinate activities with data source application owners to ensure integration, data integrity and data quality. Provide production support for all Reporting Processes. Maintain and manage technical metadata and documentation for data warehousing and Reporting processes
Ensure the data is delivered to the customers at the right time as per agreed SLA.
Accountable for job monitoring, execution, troubleshoot any issues, identify the root cause and fix any bugs as and when required.
Address any queries raised by the business in a timely manner and within the stipulated SLA time.
Monitor Service now for any user created tickets and resolve within the SLA agreed upon.
Strive to identify opportunity of improvements in the application and develop expertise on implementing any continuous improvements.
Proactively raise any gaps identified during the operations and follow up with the concerned team until closure.
Coordinate with upstream/downstream application teams and the key stakeholders for any data issues, outages or impact arising due to any changes.
Ensure that a thorough impact analysis and testing is carried out for any upstream changes impacting the application.
Ensure that the defined metrics of AZ are adhered.
Helps in creating necessary supporting documents for the applications.
Send out appropriate status updates as and when required.


Mandatory skills :


Technical hands on experience in Microstrategy & Redshift


Desired skills :


Experience of working in Sales & Marketing Portfolio preferably in Life Sciences Industry.
Excellent communication and interpersonal skills
Excellent spoken and written English language skills
Willing to learn & embrace latest technologies in Business Intelligence Space.


WHY JOIN US?

We’re a network of high-reaching self-starters who contribute to something far bigger. We enable AstraZeneca to perform at its peak by delivering premier technology and data solutions.

We’re not afraid to take ownership and run with it. Empowered with unrivalled freedom. Put simply, it’s because we make a significant impact. Everything we do matters.

SO, WHAT’S NEXT?

Are you already envisioning yourself joining our team? Good, because we’d love to hear from you! Click the link to apply and we’ll be in touch as soon as we can.

WHERE CAN I FIND OUT MORE?

Our Social Media, Follow AstraZeneca on LinkedIn https://www.linkedin.com/company/1603/

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, sex, gender, gender expression, sexual orientation, age, marital status, veteran status, or disability status.","['Analytical Skills', 'Communication', 'Amazon Redshift', 'Change Impact Analysis', 'Computer-Aided Design (CAD)', 'English', 'Interpersonal Skills', 'MicroStrategy', 'Root Cause', 'Troubleshooting']"
