,job_title,company,location,job_desc,skills
0,Hardware Engineer,Tejas Networks," Bengaluru, Karnataka, India ","About the job

Hi Job Seeker,




Tejas Networks is looking for Hardware Board Design Engineer for our team based in Bangalore.

If interested, kindly share your updated resume.

Kindly find the JD and company details below.

Kindly provide some references.




About Tejas:

Tejas is a telecom equipment manufacturer company established in Year 2000 with a mission to innovate leading edge, high quality, and excellent telecommunication products for its customers. The company house more than 50 % of its work force in R&D, hired from reputed colleges like IITs and NITs, making a highly motivated and research-oriented team, which work relentlessly in pursuit of innovations, developing high-end optical networking equipment.




Profile:

Designation: Hardware Board Design Engineer

Location: Bangalore

Education: BE/ B-Tech (ECE) OR M-Tech

Experience: 2 to 5 years










Please find the JD below:




Job Description / Skills:

· Should have good experience in Board Hardware Design

· Knowledge of High-Speed Board Design

· Experience in designing with memories like DDR3 / DDR4 / RLDRAM / GDDR / NAND / NOR etc.

· Experience in designing with High-speed communication protocol like PCIe / SATA / USB3.0 / SGMII / SFP+ /10G/100G/

· Experience in designing with Low-speed protocol like I2C / SPI / UART.

· Familiarity in designing products conforming to worldwide EMC and safety standards

· Responsibilities include Schematic Capture, Component Selection, Library Creation and Guiding Board Layout

· Experience of working with Mentor Graphics Dx Designer and Cadence Allegro would be preferred

· Experience in working with complex ASSPs, Microprocessors/controllers and FPGAs

· Experience in designing Point of Load DC-DC converters would be preferred

· Experience in Signal Integrity / Power Integrity

· Experience in working in optical products would be preferred.

· Should have knowledge of PCB Materials and familiarity with stack-up design

· Knowledge of scripting (bash/Tcl /VB) would be an added advantage

· Knowledge of Verilog HDL would be an added advantage

· Should have excellent troubleshooting skills on Electrical / Electronic boards to find the root cause and to debug

· Should have worked on testing equipment like high-speed Oscilloscope, Network analyzers, spectrum analyzers etc.

· Experience in working on synchronization and knowledge of syncE/1588 are added advantage","['Printed Circuit Board (PCB) Design', 'Allegro', 'DDR3', 'I2C', 'Microprocessors', 'PCIe', 'Schematic Capture', 'Signal Integrity', 'Universal Asynchronous Receiver/Transmitter (UART)', 'Verilog']"
1,IP Characterization & Modeling Engineer- Greater Noida,STMicroelectronics," Noida, Uttar Pradesh, India ","About the job

ST is hiring for IP Characterization & Modeling Engineer - Greater Noida only




Role & Responsibility

To develop and validate IPs EDA views & methodologies for various Foundation & Complex Analog Mixed Signal IPs (I/Os, PLLs, Sensors, Data Convertors & Complex AMS Phys..) for smooth integration in ASIC flow used by ST internal and external products divisions/customers.

Required Skills

Good understanding of digital design concepts & CMOS fundamentals
Can quickly understand the functional & physical specifications of IPs & Libraries.
Exposure to electrical characterization tools like Kronos/Liberate/Silicon Smart etc.
Knows the various formats of liberty file (NLDM, CCS, LVF, APL etc.)
Knows IPs different physical formats Layout/LEF/Abstract/GDS/CDL
Hands-on on Behavioral modeling (HDL) Language : Verilog or System Verilog
Good understanding of static timing analysis concepts using Prime Time or Tempus
Exposure to SI/PI tools & IBIS modeling is a plus.
Scripting Skills : Perl/Tcl/Python is a plus.




Experience – 3 to 8 Years




Regards

Talent Acquisition","['Analytical Skills', 'Characterization', 'Competitive Analysis', 'English', 'Italian', 'Marketing Communications', 'Microelectronics', 'Modeling', 'Presentation Skills', 'Semiconductors']"
2,HVDC C&P Hardware Design Engineer,Hitachi Energy," Chennai, Tamil Nadu, India ","About the job
At Hitachi Energy our purpose is advancing a sustainable energy future for all. We bring power to our homes, schools, hospitals and factories. Join us and work with fantastic people, while learning and developing yourself on projects that have a real impact to our communities and society. Bring your passion, bring your energy, and be part of a global team that appreciates a simple truth: Diversity + Collaboration = Great Innovation




As an Associate project engineer, you will join an aspiring team that works with the HVDC Power transmission links. It is a diverse and independent job, within our project groups, with lots of responsibility and you will have great opportunities to develop your skills within HVDC. Our department is responsible for the C & P hardware design of HVDC system. This includes design, documentation, testing, supervising the installation and commissioning of the control and protection systems. Supporting and supervising on-site installation and commissioning around the world is an important part of our business offering.




Your responsibilities




Production of Integrated System Schematic / Plant Circuit Diagram.
Preparation of manufacturer documentation (GA, Scheme drawings, BoM) for control and protection panels / cubicles and junction / marshalling boxes.
Preparation of Cable Schedule & Termination details.
Able to Conduct Design Review meetings.
Exposure in Engineering Base (EBASE) tool for Cubicle design and Plant Circuit diagram.
Exposure in AC Control & Protection schemes.
Exposure / Basic Knowledge in International electrical (IEEE/IEC) Standards.
Closely interacting with project team and support the team for smooth execution of project.




Your background




Bachelor Degree BE/ B.Tech (Electrical and Electronics Engineering).
Should have minimum 2 to 5 years of experience in Substation control & protection design of HV/EHV substation projects.
Must have experience in Software Skills i.e. Windows and MS office, AutoCAD Electrical, Engineering Base,Hidraw.
Taking Initiative in engineering Process optimizations, standardization etc.
Ability to work independently maintaining excellent quality and optimized design in developing deliverables.




More about us




Hitachi Energy is a global technology leader that is advancing a sustainable energy future for all. We serve customers in the utility, industry and infrastructure sectors with innovative solutions and services across the value chain. Together with customers and partners, we pioneer technologies and enable the digital transformation required to accelerate the energy transition towards a carbon-neutral future. We are advancing the world’s energy system to become more sustainable, flexible and secure whilst balancing social, environmental and economic value. Hitachi Energy has a proven track record and unparalleled installed base in more than 140 countries. Headquartered in Switzerland, we employ around 40,000 people in 90 countries and generate business volumes of approximately $10 billion USD. www.hitachienergy.com




Publication date




2023-02-21




Reference Number




IN54692723_E1","['AutoCAD Electrical', 'Design Review', 'Electronic Engineering', 'HV', 'HVDC', 'Hardware Architecture', 'Hardware Design', 'IEEE', 'Schematic', 'Substation']"
3,Advanced Hardware Engineer,Honeywell," Bengaluru, Karnataka, India ","About the job
Driving Infinite Possibilities Within A Diversified, Global Organization

Advanced Hardware Engineer

Honeywell prides itself in excelling in a highly competitive market providing state of the art solution. The engineers in Honeywell constantly adapts and upgrades to latest and futuristic technology that keeps us ahead of time. Aspiration Detection is a highly advanced field fold fire detection providing early detection and waring in case of fire. These are cutting edge technology that needs highly skilled engineer who work with advanced signal processing algorithms, fast and accurate processing system and provide complete reliability with zero failure. As part of this motivated team, you are expected to work and excel in all the phase of product development starting from Idea conception to product

Key Responsibilities

Design and develop hardware products and systems, end to end product development experience is a must
Design, define, and simulate analog and digital circuits.
Conduct FMEAs, Reliability and other failure analysis of HW Design
Responsible for schematic design , CDR and change management if needed.
Layout Review and ensure conformance to IPC standards and relevant Honeywell guidelines
Responsible for new product transfer from R&D to production and provide related technical document.
Responsible for the hardware circuit problem solving and product design upgrade of the products that have been put into production
Co-work with local FW/SW/Testing team on system level issues through the project development
Co-ordinate with regulatory team for product certification
Co-ordinate with Manufacturing and setup production and test setups
Chip selection, Hardware debugging, Hardware simulation, Hardware test automation
Manage BOM and parts Obsolescence and address supply chain issues working with sourcing and factory
Drive ECN, Disposition Plan, CCB approvals
Co-work with worldwide hardware team, system team and Customer engineering team on the development status sync up, issue debugging
Recruit and Mentor Junior Engineer

WE VALUE

7 + Years in Schematic Design, Layout Design and Board Bring up
Experience in Camera Interfaces, Lidar sensors, related filters is an added advantage
Very Good experience in digital, analogue and mixed signal circuit design
Strong Product design capabilities from concept to System Architecture
Design for platform, manage and control BOM for optimal cost
Board Bring-Up and testing: Including Functional tests, System testing, Compliance to specification, Design Verification Test, Power/Timing analysis, Thermal analysis, EMI/EMC tests and SI analysis
Assist and support CAD team or design team in schematic designs and layout.
Good experience in EMI/EMC, ESD, FCC testing requirement
Experience in Power analysis, Power Supply selection, Voltage Regulator and Thermal Analysis.
Expertise in SMPS, linear power supplier, and OP Amp design
Should have experience in designing commercial and Industrial product preferably should have worked with MIL grade applications
Expert level experience in EDA Tools - Mentor Graphics, LT Spice/TINA
Should have good knowledge of IPC standards for PCB Layout design
Working knowledge in C and device drivers for broad bring up and design.
Experience in design using ARM based processors Ti, NXP, ST etc
Familiar with common bus such as I2C, UART, SPI, RS485, MODBUS, CAN, etc.
Good analytical skills
Team player with good communication skills
Ability to identify and troubleshoot hardware problems including field issue
Experience in RF design for wireless technologies such as Zigbee, Bluetooth, WIFI products.
Should be motivated to learn quickly and adapt.
Familiar with I2C, UART, SPI, RS485, MODBUS, CAN
Working knowledge in Microsoft tools, Jira or any project management tools
Working knowledge in code management tools like bit bucket, SVN etc
Good verbal and written communication skills
Strong Microsoft Office suite skills – MS Excel/MS Access/Etc.

YOU MUST HAVE

Bachelor's degree in Engineering in Electrical /Electronics Engineering
10+ years of Industrial experience Product Design

Additional Information

JOB ID: HRD191589
Category: Engineering
Location: Devarabisanahalli Village, KR Varturhobli,,East Taluk - Phase I,Bangalore,KARNATAKA,560103,India
Exempt
Engineering (GLOBAL)","['Printed Circuit Board (PCB) Design', 'Circuit', 'Circuit Design', 'Electromagnetic Interference (EMI)', 'Layout Design', 'Mixed-Signal Integrated Circuits', 'U.S. Federal Communications Commission (FCC)', 'Voltage', 'Voltage Regulator', 'ZigBee']"
4,Firmware Development Engineer,Emerson," Pune, Maharashtra, India ","About the job
Job Description

Job Title:

Firmware Development Engineer

Location:

EIC-Pune

Position Summary:

As a firmware engineer working in the new product development group you will be responsible for a broad range of engineering tasks. Our mission is to deliver to the market highly reliable products for which Emerson is well known and our customers demand.

In support of that mission you will be responsible for rapid familiarization with embedded products, designing and development of new features, developing firmware for wireless communication like Bluetooth. This role requires a well-rounded skillset with the ability to work within an already defined architecture and the ability to design new architectures. You will be expected to document your work thoroughly and support our commitment to software quality by adhering to company best practices for software development. Design documentation using unambiguous tools such as UML are expected. Your code will be subjected to code reviews and will be required to conform to company coding standards. Unit testing and static analysis are also expected. Your development tasks will span feature design, implementation, verification and release.

This is an exciting opportunity for someone that likes to be continually challenged by working with new and unfamiliar hardware and tools.

Essential Job Functions:

Analyze, design, and implement solutions to requirements
Propose improvements to identified software inefficiencies and deficiencies
Utilize scopes, meters, power sources etc. as necessary to complete the task
Plan and architect a testing environment using existing tool chain for a given product
Participate in sprint planning sessions.
Identifies test cases necessary for verifying firmware requirements.
Implements or manages the implementation of test cases
Manage code changes using version control tools.
Participate in code reviews.
Execute or manage the execution of test cases
Log defects in project defined defect tracking tool
Read and follow relevant project engineering practice and engineering standards documents.


Education / Experience Required:

Bachelor of Science Computer Engineering, Electronics Engineering or Equivalent Engineering with a focus on programming
Prior embedded development experience is a must with ability to understand hardware interfaces and work with hardware engineering team to analyze, troubleshoot technical challenges.
Ability to work in a global engineering environment


Knowledge / Skills / Abilities:

Knowledge and experience with 8, 16, and 32 bit Micro-controllers
Knowledge and experience with agile development methodologies
Knowledge and experience with distributed version control such as (GIT, Mercurial)
Expert programming skills with C / C++ compilers and linkers
Standalone and RTOS based firmware development experience.
Experience developing low level driver interfaces for I2C/SPI/UART/Display/
6-8 years of embedded firmware development experience for an embedded product
Strong analytical and debugging skills
Knowledge or ability to learn requirements management database tools such as (Jama)
Ability to participate in a team environment
Must have a commitment to quality
Methodical problem-solving skills are needed","['Bluetooth', 'Database Tools', 'Design Documents', 'Firmware', 'Hardware Engineering', 'Mercurial', 'Software Quality', 'Test Cases', 'Unified Modeling Language (UML)', 'Universal Asynchronous Receiver/Transmitter (UART)']"
5,Lead (Senior Engineer) - DCS,Emerson," Mumbai, Maharashtra, India ","About the job
Job Description

Job Description for Lead (Senior Engineer) - DCS:

Job Description

Planning and management

Along with the Project Manager, review the project scope and schedule.
Plan the project execution including planning of materials, design and development schedule and resources.
Assist Project Manager to prepare progress report for customer.
Prepare site commissioning plan which include schedule, detailed tasks order and materials logistics.
Coordinate work between multiple internal and external teams and disciplines.
Assist PM in reviewing project progress, cost control, scope identification and Risk management.


Customer relations

Be Primary contact with customer for all technical queries, clarifications and discussions.
Submit design documents to customer for review and approval. Manage customer expectations and promptly respond to comments.
Lead Factory Acceptance test with customer and work project team members to ensure all punch lists are closed in a timely manner.
Lead site commissioning activities, manage site teams, prepare progress reports to ensure smooth commissioning.


Technical delivery

Prepare technical solution concept to comply with project scope and optimize costs.
Design system architecture across multiple network levels including DCS networks, fieldbuses, datalinks to third party devices and cybersecurity requirements.
Plan and perform detailed site survey to collect all required information from site.
Perform input data review and seek necessary clarifications from customer.
Reviewing the Customer Project technical requirements, Specifications and Standards for DCS and C&I packages in order to derive technical scope and solution.
Review field installed devices specifications to identify and select required IO modules types and signal converters.
Review P&IDs and process flow diagrams to plan IO assignments to meet redundancy levels.
Work with application engineers to make sure that software application meets project scope. Review graphics and control strategies.
With help of draftsman, design DCS cabinets of different types, utilizing existing or develop custom designs.
Define the database for all third-party communication data links. Interface with the customer as needed to obtain necessary information.


Procurement and suppliers

Define project detailed Bill of Materials including specifications for Ovation and buyout items.
Work with procurement team to define required buyouts, evaluate and select technical solution and products proposed by vendors.
To interface with vendor technical team in order to derive appropriate technical solution, selection of right product and service and their technical solutions, products and services.


Quality Control

Do quality management for engineering deliverables to make sure it meets company policies.
Conduct internal design reviews which include hardware design, application and control strategies design, network design, cybersecurity compliance, process simulation design, performance calculations design.


Proposals/Sales support

Participate in proposal reviews, consult on technical queries and provide overall support.
Participate in sales meetings to provide technical consultancy and solutions
Perform site walkdowns to support proposal team and define best solution
Estimate engineering hours and required skillset for particular task and project


Basic Qualifications

Degree in Engineering (Instrumentation & Control, Electrical, Electronics, Computer Science) with 5-8 years of experience in industrial process automation projects.

Experience in configuration of automation system based on any reputed PLC/DCS.

Preferred Qualifications

Good knowledge and experience in:

Cisco switches/routers configuration,
Emerson Power and Water Cybersecurity Suite (or equivalent) configuration and site implementation,
Datalink protocols: Modbus RTU/TCP-IP, IEC60870, OPC


Technical Skills/Knowledge Required

Minimum 3-5 years of work experience related to DCS/PLC system engineering activities for Automation of Thermal, Hydro, Gas or Captive Power plants.
Demonstrable work experience in engineering/customer FAT/ commissioning of DCS system for power plants is required.
Thorough understanding of power plant process.
Previous work experience in hardware and/or software engineering of any OEM DCS/PLC system is preferable
Working knowledge of establishing communication/interface with third party system over Modbus, Profibus and other digital communication bus is desirable
Working knowledge of Foundation Fieldbus/Profibus system design, commissioning and troubleshooting is added advantage.
Field commissioning experience related to power plant C&I packages is desirable
Should have proficiency in working with MS office application is must.
Familiarity with AutoCAD tools or Microsoft Visio is added advantage","['C&I', 'Distributed Control System (DCS)', 'IO', 'Modbus', 'Office Application', 'Process Flow Diagrams', 'RTU', 'Signal', 'Tech-savvy', 'Technical Requirements']"
6,Advanced Lead Engineer - Emerging Technologies,GE Aerospace," Bengaluru, Karnataka, India ","About the job
Job Description Summary In this role, design engineer will be part of the Advanced Mechanical Design team and will contribute to maturation of the compressor technology of the next generation engines. Engineer will own the design of stator hardware of the product and tech maturation rigs. He/ She will also be responsible for analysis support, manufacturing support, and engineering test support. Job Description




Roles And Responsibilities




Execute the design and evaluation of assigned static Hardware adhering to best practices and program requirements
Resolve issues and solve problems related to Hardware design and producibility using engineering principles, design practices and engineering judgement
Utilizes in-depth knowledge of a technical discipline and analytical thinking and technical experience to execute policy/strategy.
Has knowledge of best practices and how own area integrates with others; is aware of the competition and the factors that differentiate them in the market.
Uses some judgment and has some ability to propose different solutions outside of set parameters to address moderately complicated design challenges.
Uses technical experience and analytical thinking. Uses multiple internal and limited external sources outside of own teams to arrive at decisions.
Acts as a resource for colleagues with less experience. May lead small projects with low risks and resource requirements. Explains information; developing skills to bring team members to consensus around topics within field. Conveys performance expectations and may handle sensitive issues.
Provide technical guidance that influences outcomes to other people supporting moderate complexity projects and/or tasks
Demonstrates domain expertise and skills, building depth.
Moderate complexity, component, module or systems level analysis or hardware ownership
Responsible for project planning activities, including work tasks, project scope, schedule, and budget.
Proactively identifies and helps others recognize lessons learned.




Required Qualifications




B. Tech. / M. Tech. / Ph. D. in Mechanical / Aerospace Engineering or equivalent degree
6+ years of relevant experience on design/analyses of gas turbine components.
In-depth understanding of mechanical engineering design & analysis concepts.
Demonstrated ability to own & deliver on program in time with quality.
Strong expertise on FEA packages like ANYS or similar.
Understanding of overall product life cycle...TRL and MRL processes, NPI and beyond.
Strong team player that believes in team success supersedes individual success.
Strong oral and written communication skills.
Ability to document, plan, market and execute programs.
Established project management skills.
Demonstrated ability to work with across multi-disciplinary teams to solve complex problems.




Desired Characteristics




Aviation and Gas turbine domain knowledge.
Demonstrated ability to analyze and resolve problems.
Demonstrated ability to lead NPI, Technology Maturation Projects and teams.
Exposure to Lean and other statistical, digital methodologies for problem solving
Demonstrated ability to work within & across the business teams.




About Us




GE is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other characteristics protected by law.




Disclosure of your Gender or Sexual orientation is completely Voluntary and not mandatory.




www.ge.com




Additional Information




Relocation Assistance Provided: Yes","['Analytical Skills', 'Communication', 'Problem Solving', 'Engineering Design', 'Gas Turbines', 'Hardware Design', 'Interpersonal Skills', 'Mechanical Engineering', 'Multi-disciplinary Teams', 'Written Communication']"
7,Advanced Lead Engineer - Emerging Technologies,GE Aerospace," Bengaluru, Karnataka, India ","About the job
Job Description Summary In this role, design engineer will be part of the Advanced Mechanical Design team and will contribute to maturation of the compressor technology of the next generation engines. Engineer will own the design of stator hardware of the product and tech maturation rigs. He/ She will also be responsible for analysis support, manufacturing support, and engineering test support. Job Description




Roles And Responsibilities




Execute the design and evaluation of assigned static Hardware adhering to best practices and program requirements
Resolve issues and solve problems related to Hardware design and producibility using engineering principles, design practices and engineering judgement
Utilizes in-depth knowledge of a technical discipline and analytical thinking and technical experience to execute policy/strategy.
Has knowledge of best practices and how own area integrates with others; is aware of the competition and the factors that differentiate them in the market.
Uses some judgment and has some ability to propose different solutions outside of set parameters to address moderately complicated design challenges.
Uses technical experience and analytical thinking. Uses multiple internal and limited external sources outside of own teams to arrive at decisions.
Acts as a resource for colleagues with less experience. May lead small projects with low risks and resource requirements. Explains information; developing skills to bring team members to consensus around topics within field. Conveys performance expectations and may handle sensitive issues.
Provide technical guidance that influences outcomes to other people supporting moderate complexity projects and/or tasks
Demonstrates domain expertise and skills, building depth.
Moderate complexity, component, module or systems level analysis or hardware ownership
Responsible for project planning activities, including work tasks, project scope, schedule, and budget.
Proactively identifies and helps others recognize lessons learned.




Required Qualifications




B. Tech. / M. Tech. / Ph. D. in Mechanical / Aerospace Engineering or equivalent degree
6+ years of relevant experience on design/analyses of gas turbine components.
In-depth understanding of mechanical engineering design & analysis concepts.
Demonstrated ability to own & deliver on program in time with quality.
Strong expertise on FEA packages like ANYS or similar.
Understanding of overall product life cycle...TRL and MRL processes, NPI and beyond.
Strong team player that believes in team success supersedes individual success.
Strong oral and written communication skills.
Ability to document, plan, market and execute programs.
Established project management skills.
Demonstrated ability to work with across multi-disciplinary teams to solve complex problems.




Desired Characteristics




Aviation and Gas turbine domain knowledge.
Demonstrated ability to analyze and resolve problems.
Demonstrated ability to lead NPI, Technology Maturation Projects and teams.
Exposure to Lean and other statistical, digital methodologies for problem solving
Demonstrated ability to work within & across the business teams.




About Us




GE is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other characteristics protected by law.




Disclosure of your Gender or Sexual orientation is completely Voluntary and not mandatory.




www.ge.com




Additional Information




Relocation Assistance Provided: Yes","['Analytical Skills', 'Communication', 'Problem Solving', 'Engineering Design', 'Gas Turbines', 'Hardware Design', 'Interpersonal Skills', 'Mechanical Engineering', 'Multi-disciplinary Teams', 'Written Communication']"
8,Advanced Lead Engineer - Emerging Technologies,GE Aerospace," Bengaluru, Karnataka, India ","About the job
Job Description Summary In this role, design engineer will be part of the Advanced Mechanical Design team and will contribute to maturation of the compressor technology of the next generation engines. Engineer will own the design of stator hardware of the product and tech maturation rigs. He/ She will also be responsible for analysis support, manufacturing support, and engineering test support. Job Description




Roles And Responsibilities




Execute the design and evaluation of assigned static Hardware adhering to best practices and program requirements
Resolve issues and solve problems related to Hardware design and producibility using engineering principles, design practices and engineering judgement
Utilizes in-depth knowledge of a technical discipline and analytical thinking and technical experience to execute policy/strategy.
Has knowledge of best practices and how own area integrates with others; is aware of the competition and the factors that differentiate them in the market.
Uses some judgment and has some ability to propose different solutions outside of set parameters to address moderately complicated design challenges.
Uses technical experience and analytical thinking. Uses multiple internal and limited external sources outside of own teams to arrive at decisions.
Acts as a resource for colleagues with less experience. May lead small projects with low risks and resource requirements. Explains information; developing skills to bring team members to consensus around topics within field. Conveys performance expectations and may handle sensitive issues.
Provide technical guidance that influences outcomes to other people supporting moderate complexity projects and/or tasks
Demonstrates domain expertise and skills, building depth.
Moderate complexity, component, module or systems level analysis or hardware ownership
Responsible for project planning activities, including work tasks, project scope, schedule, and budget.
Proactively identifies and helps others recognize lessons learned.




Required Qualifications




B. Tech. / M. Tech. / Ph. D. in Mechanical / Aerospace Engineering or equivalent degree
6+ years of relevant experience on design/analyses of gas turbine components.
In-depth understanding of mechanical engineering design & analysis concepts.
Demonstrated ability to own & deliver on program in time with quality.
Strong expertise on FEA packages like ANYS or similar.
Understanding of overall product life cycle...TRL and MRL processes, NPI and beyond.
Strong team player that believes in team success supersedes individual success.
Strong oral and written communication skills.
Ability to document, plan, market and execute programs.
Established project management skills.
Demonstrated ability to work with across multi-disciplinary teams to solve complex problems.




Desired Characteristics




Aviation and Gas turbine domain knowledge.
Demonstrated ability to analyze and resolve problems.
Demonstrated ability to lead NPI, Technology Maturation Projects and teams.
Exposure to Lean and other statistical, digital methodologies for problem solving
Demonstrated ability to work within & across the business teams.




About Us




GE is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other characteristics protected by law.




Disclosure of your Gender or Sexual orientation is completely Voluntary and not mandatory.




www.ge.com




Additional Information




Relocation Assistance Provided: Yes","['Analytical Skills', 'Communication', 'Problem Solving', 'Engineering Design', 'Gas Turbines', 'Hardware Design', 'Interpersonal Skills', 'Mechanical Engineering', 'Multi-disciplinary Teams', 'Written Communication']"
9,Advanced Lead Engineer - Emerging Technologies,GE Aerospace," Bengaluru, Karnataka, India ","About the job
Job Description Summary In this role, design engineer will be part of the Advanced Mechanical Design team and will contribute to maturation of the compressor technology of the next generation engines. Engineer will own the design of stator hardware of the product and tech maturation rigs. He/ She will also be responsible for analysis support, manufacturing support, and engineering test support. Job Description




Roles And Responsibilities




Execute the design and evaluation of assigned static Hardware adhering to best practices and program requirements
Resolve issues and solve problems related to Hardware design and producibility using engineering principles, design practices and engineering judgement
Utilizes in-depth knowledge of a technical discipline and analytical thinking and technical experience to execute policy/strategy.
Has knowledge of best practices and how own area integrates with others; is aware of the competition and the factors that differentiate them in the market.
Uses some judgment and has some ability to propose different solutions outside of set parameters to address moderately complicated design challenges.
Uses technical experience and analytical thinking. Uses multiple internal and limited external sources outside of own teams to arrive at decisions.
Acts as a resource for colleagues with less experience. May lead small projects with low risks and resource requirements. Explains information; developing skills to bring team members to consensus around topics within field. Conveys performance expectations and may handle sensitive issues.
Provide technical guidance that influences outcomes to other people supporting moderate complexity projects and/or tasks
Demonstrates domain expertise and skills, building depth.
Moderate complexity, component, module or systems level analysis or hardware ownership
Responsible for project planning activities, including work tasks, project scope, schedule, and budget.
Proactively identifies and helps others recognize lessons learned.




Required Qualifications




B. Tech. / M. Tech. / Ph. D. in Mechanical / Aerospace Engineering or equivalent degree
6+ years of relevant experience on design/analyses of gas turbine components.
In-depth understanding of mechanical engineering design & analysis concepts.
Demonstrated ability to own & deliver on program in time with quality.
Strong expertise on FEA packages like ANYS or similar.
Understanding of overall product life cycle...TRL and MRL processes, NPI and beyond.
Strong team player that believes in team success supersedes individual success.
Strong oral and written communication skills.
Ability to document, plan, market and execute programs.
Established project management skills.
Demonstrated ability to work with across multi-disciplinary teams to solve complex problems.




Desired Characteristics




Aviation and Gas turbine domain knowledge.
Demonstrated ability to analyze and resolve problems.
Demonstrated ability to lead NPI, Technology Maturation Projects and teams.
Exposure to Lean and other statistical, digital methodologies for problem solving
Demonstrated ability to work within & across the business teams.




About Us




GE is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other characteristics protected by law.




Disclosure of your Gender or Sexual orientation is completely Voluntary and not mandatory.




www.ge.com




Additional Information




Relocation Assistance Provided: Yes","['Analytical Skills', 'Communication', 'Problem Solving', 'Engineering Design', 'Gas Turbines', 'Hardware Design', 'Interpersonal Skills', 'Mechanical Engineering', 'Multi-disciplinary Teams', 'Written Communication']"
