,job_title,company,location,job_desc,skills
0,Business Information Security Specialist,Emirates NBD," Delhi, India ","About the job

*Role is based in Dubai UAE (Not a remote role)




The role of Business Information Security Specialist constitutes the following:

Ensures proactive reach out to the business and regulators to identify opportunities and guidance from a security viewpoint. The role would lead the team to reach out and act as first contact towards the business to ensure security is perceived as an enabler.
Manage the various regional regulatory frameworks and data privacy standards, which the Group must adhere to.
She/he will also lead the team to align with business stakeholders on possible ways to meet security challenges and promote security awareness & risk culture across the organization. Creating the culture of business security champions to develop awareness across the organization. She/he ensures early involvement of security in business projects to avoid unnecessary rework or delays
Proactively identify information security deficiencies or opportunities for improvement and facilitate development of pragmatic solutions
Facilitate both internal and external audits and track them for closure with corrective actions in place - acting as an single point of contact for the audits in IT.
Facilitate with regulatory bodies to collect requirements and meet compliance to their various standards related to IT.
Performing acquisition due diligence for Information Security risks and control deployment
Be a part of the business unit team and act in a consultative way to help business improve its security posture and adhere to security policies and expected controls




Skills, certifications and experience:-




1. ISMS lead implementer/Lead Auditor

2. CIPP/CIPM/CIPT

3. CISA, ITIL,OSCP,PCI DSS

4. CISSP, CISM, CRISC

5. NESA knowledge (preferably implementation)




Methodologies and practices: Deep experience in alignment of business and IT requirements including translation of business requirements into security requirements (vice versa).

Deep experience in communication and alignment with security teams and implementation teams. Deep expertise on current regulatory agenda and corresponding assessment methodologies

Business acumen: Deep general banking and business area knowledge is necessary in order to identify the right solutions for business and to steer the implementation teams into the right direction as well as making sure that a proper relationship to the business side is established

1. 3+ years’ experience in the Information Security domain of which at least 1 years in the financial industry

2. Business acumen: Experience of 3 years understanding the financial industry, market, and specific operations that relate to banking & finance




· Technical background covering heterogeneous technologies and multiple security domains (Technical)

· Competence in the use/customization of GRC tools preferably Archer

· Deep knowledge of regulatory frameworks and how to embed them into business requirements (Technical)

· Knowledge required of security controls, typical pitfalls and required measures for security compliance. Deep experience of the current technology backbone and available technologies within the security space (Technical)

· Deep knowledge of the interface to the implementation including development methodology knowledge including latest market trends and their possible application to the bank

· Deep knowledge of current business priorities and projects and corresponding business goals

· At least some experience with Cloud Security

· Collaborative leadership style that involves a mix of resource & project planning along with delegation, decision making & conflict resolution (Management)

· Superior verbal & written communication skills (Management)

· Good presentation skills (Management)

· Business, Technical & Audit Stakeholder Management skills (Management)","['Communication', 'CISA', 'Certified Information Security Manager (CISM)', 'Certified in Risk and Information Systems Control (CRISC)', 'Cloud Security', 'ITIL', 'Information Security', 'Network Security', 'Presentation Skills', 'Project Planning']"
1,Associate II - Cloud Infrastructure Services,UST," Coimbatore, Tamil Nadu, India ","About the job
Job Description

Description for External Candidates

Key Responsibilities

Diagnose, resolve and follow through on computer malfunction.

Arrange for repairs by vendors and external repair facilities as necessary

Performing moves, adds and changes of software and hardware for all equipment
Reviewing, resolving and closing tickets in the ServiceNow queue
Installation/troubleshooting software in systems and equipment problems or malfunctions
Identifying causes and recommending solutions
Acting as a liaison between Systems Infrastructure staff and end users during trouble shooting

Qualifications And Experience

Degree or coursework in computer studies and/or information technology
Good telephone and interpersonal skills a must
Exposure to DOS, Windows NT; in depth knowledge of Windows7, 10 and Microsoft Office products
Ability to install hardware components such as RAM, hard drives, CD/DVD, cables, NICs, processors is needed
General knowledge of AD, DNS and DHCP, as well has how to create file share structures and network computers together into a companywide domain.
Have an understanding of networking concepts and practice.
Ability to install software manually and electronically via MS Software Management System (SMS)
General knowledge of Windows Deployment Services (WDS) which includes OS image creation, capturing & deploying.
Awareness of Antivirus and WSUS management.
Experience with Dell desktops and laptops, HP printers, PDAs, Blackberries, iPhones and MAC
Ability to troubleshoot and resolve hardware problems and conflicts
Ability to organize multiple deliverables and respond to changing priorities
Ability to move equipment, install PCs, monitors, printers, and peripherals in a business environment

Skills And Attributes

Strong interpersonal and communication skills
Highly motivated with the ability to comprehend complex issues rapidly and aid in producing technically credible solutions
Good timekeeping for projects and required deadlines
Ability to multi-task – such as projects requiring opposing skills and work environments
Ability to prioritize tasks and workload
Clear precise attitude with methodical attention to detail
Telephony soft skills
Mentoring and training of co-workers at all levels of competence
Excellent technical troubleshooting skills.","['Communication', 'Attention to Detail', 'Interpersonal Communication', 'Interpersonal Skills', 'Skilled Multi-tasker', 'Soft Skills', 'Timekeeping', 'Troubleshooting', 'Windows Deployment Services (WDS)', 'Windows NT']"
2,"Sr Engineer I, SW",HARMAN International," Bengaluru, Karnataka, India ","About the job
Position Summary:




This position is an embedded software engineer within the Automotive Car Audio division. Products that will be developed are OEM automotive amplifiers and other similar audio processing products. Products typically consist of a main microcontroller for configuration, communication and control and a DSP processor for audio processing. Position will consist of working as part of a software development team for the development of amplifier products. Software development work will be mainly deeply embedded, written in C, occasionally additional testing or development tools may need to be developed on a PC.




Supervisory Responsibilities: This position does not have any direct or indirect reports.




Job Responsibilities:




The engineer will be responsible for developing production ready software following a defined software development process. The engineer must be capable of analyzing specifications, developing unit designs, developing unit test plans, integration test plans and verifying functionality. The engineer will be responsible for the development of embedded system-based application software for an amplifier product(s). The engineer must be able to understand the requirements for specific project/programs and be able to develop drivers, services and applications in Embedded C and RTOS environment.




Embedded systems architecture with any RTOS
Working experience in developing embedded system-based application
Working experience in Python scripts and automation scripting
Working experience in Software integration.
Working knowledge of software development tools (debugger’s, emulators, compilers, etc).
Ability to read schematics and debug analog and digital hardware.
Working knowledge of software development processes.
Working knowledge of embedded operating systems.
Analyze customer and internal requirements and specifications and translates these into software designs.
Analyze existing embedded software to add features, make modifications, fix bus, and/or port to different platforms.
Work with offshore development and validation teams to support in the software development activity.
Communicate and interface directly to the OEM customers supported by regional SME.
Problem solving skills
Identifies product requirement or performance issues. Work with external teams as necessary to resolve issues in a timely manner.
Communicate with peers inside the Harman group to coordinate software development. This includes occasional travel for training or coordination with other groups..




Basic Qualifications:




Bachelor’s degree in Electrical or Electronics or Instrumentation Engineering or equivalent.
6+ years of microcontroller embedded software development or Integration.
6+ years of C or other structured language.
5+ years of Automotive embedded systems development and testing
Experience in automation scripts
Experience in Python scripting
Experience in developing and debugging software in a real-time, embedded, multiprocessor, multi-interface environment.
Experienced working with off-shore development teams.
Experienced with project schedules.
Strong attention to detail.
Exemplary verbal and written communication skills.
Creative problem-solver capable of creating and reproducing complex software defects.
3+ Experience in ASPICE, Cybersecurity and Functional Safety




Preferred Qualifications & Desired Competencies:




Bachelor or Master’s degree in Electrical or Electronics or Instrumentation Engineering or equivalent
Familiarity with audio processing.
Experience with uC-OSII or other embedded RTOS
Experience with micro controllers (e.g. V850/RH850/S32k)
Working experiences with CAN, UDS and A2B","['Embedded C', 'Problem Solving', 'Software Development', 'Automotive SPICE (ASPICE)', 'Debugging', 'Functional Safety', 'Microcontrollers', 'Real-Time Operating Systems (RTOS)', 'Software Integration', 'Unit Testing']"
3,Senior Network Engineer,NTT Ltd.," Chennai, Tamil Nadu, India ","About the job
Want to be a part of our team?

MS Engineer (L2) is responsible for providing a managed service to clients to ensure that their IT infrastructure and systems remain operational. Through the proactive monitoring, identifying, investigating and resolving of technical incidents and problems, the MS Engineer (L2) are able to restore service to clients. Their primary objective is to proactively review client requests or tickets and apply technical/process knowledge to resolve them without breaching service level agreement (SLA). The MS Engineer (L2) focuses on second line support for incidents and requests with medium level of complexity.

Radford reference:

""Performs IT functions such as design, analysis, evaluation, testing, debugging and implementation of applications programs supporting the company infrastructure business processes and operations and/or network-based (cloud) product systems. Analyzes, installs, acquires, modifies and supports operating systems, database or utilities software. Plans, conducts and directs the analysis of business problems with automated systems solutions. Analyzes, designs, acquires and implements projects for LAN and/or WAN systems. Plans, designs, acquires and implements telecommunications voice/wire systems. At higher job levels, may contribute to the development, testing, evaluation or design of system or infrastructure architecture used throughout the IT solution set.""

Working at NTT

Key Roles and Responsibilities:

Proactively monitors the work queues.
Perform operational tasks to resolve all incidents / requests in a timely manner and within agreed SLA.
Update tickets with resolution tasks performed
Identify, Investigate, analyse issues and errors prior to or when they occur and log all such incidents in a timely manner. Capture all required and relevant information for immediate resolution
Provide second level support to all incidents, requests and identify the root cause of incidents and problems
Communicate with other teams and clients for extending support
Execute changes with clear identification of risks and mitigation plans to be captured into the change record
Follow the shift hand over process highlighting any key tickets to be focussed along with a handover of upcoming critical tasks to be carried out in the next shift
Escalate all tickets to seek right focus from CoE and other teams, if needed continue the escalations to management
Work with automation teams for effort optimization and automating routine tasks
Coach Service Desk and L1 teams for technical and behavioural skills
Establish monitoring for client infrastructure
Identify problems and errors before they impact a client’s service
Lead and manages all initial client escalation for operational issues.
Contribute to the change management process by logging all change requests with complete details for standard and non-standard including patching and any other changes to Configuration Items. Ensures all changes are carried out with proper change approvals
Plan and execute approved maintenance activities
Audit and analyse incident and request tickets for quality and recommends improvements with updates to knowledge articles.
Produce trend analysis reports for identifying tasks for automation, leading to reduction in tickets and optimization of effort


Knowledge, Skills and Attributes:

Ability to communicate and work across different cultures and social groups
Ability to plans activities and projects well in advance, and takes into account possible changing circumstances
Ability to maintain a positive outlook at work
Ability to work well in a pressurised environment
Ability to work hard and put in longer hours when it is necessary
Ability to apply active listening techniques such as paraphrasing the message to confirm understanding, probing for further relevant information and refraining from interrupting
Ability to adapt to changing circumstances
Ability to place client at the forefront of all interactions, understanding their requirements and creating a positive client experience throughout the total client journey


Academic Qualifications:

Diploma, degree or relevant qualification in IT/Computing (or demonstrated equivalent work experience)


Advantageous Certifications:

Up to date and relevant ITIL certification
At least one mid-Level certification relevant to CoE - Ex – CCNP for networks, MSCE for Windows Server Data Center CoE (Add MCS and MCSfM certs in this section)
Good to have scripting knowledge such as Python, PERL
Good to have cross technology skills Ex Windows server L2 along with UNIX or Storage skills.
Cisco Certified Network Associate - Routing and Switching (CCNA-R/S)
Cisco Certified Network Associate - Wireless (CCNA-WL)
Riverbed Certified Solutions Associate - WAN Optimization (RCSA-W)
Cisco Certified Network Associate - Security (CCNA-SEC)
Juniper Certifications
Meraki Certifications
MCSA, MCSE, RHEL, VCP
MS-IIS Server
Citrix Metaframe
Cisco Certified Network Associate - Data Center (CCNA-DC)
Cisco Certified Network Associate - Video (CCNA-VID)
Cisco Certified Network Associate - Voice (CCNA-V)


Any of the above certifications is a plus. The MS – Services Engineer (L2) is expected to gain certifications relevant to services supported. Certifications carry additional weightage on candidate’s qualification for the role.

Required Experience:

Moderate years of relevant managed services experience
Moderate level knowledge in ticketing tools preferably Service Now


What will make you a good fit for the role?","['Communication', 'Cisco Certified', 'Data Centers', 'EIGRP', 'Focussed', 'Handover', 'Network Engineering', 'Proactive Monitoring', 'Switching', 'VMware Certified Professional']"
4,Customer Solution Center,Hewlett Packard Enterprise," Hyderabad, Telangana, India ","About the job
This role has been designated as ‘Edge’, which means you will primarily work outside of an HPE office.




Job Description




Job Description:




At Hewlett Packard Enterprise (HPE), we live by three core values that drive our business: Partner. Innovate. Act. These values combine to help us create important work worldwide to advance how people live and work.




HPE makes Hybrid IT simple. HPE helps customers to design the right mix of Hybrid IT to serve their unique needs. We bring next-generation infrastructure that uses intelligent software to simplify and accelerate the delivery of new apps, services, and business insights. Providing with new ways to deliver and manage IT on-premises and in the cloud.




Who We Are




Hewlett Packard Enterprise is the global edge-to-cloud company advancing the way people live and work. We help companies connect, protect, analyze, and act on their data and applications wherever they live, from edge to cloud, so they can turn insights into outcomes at the speed required to thrive in today’s complex world. Our culture thrives on finding new and better ways to accelerate what’s next. We know diverse backgrounds are valued and succeed here. We have the flexibility to manage our work and personal needs. We make bold moves, together, and are a force for good. If you are looking to stretch and grow your career our culture will embrace you. Open up opportunities with HPE.




HPE GreenLake Platform Cloud (GLCP) team allows you the opportunity to collaborate with both creative and engineering types to build HPE’s next generation cloud platform. Combining agile methodologies and a continuous integration and delivery pipeline, the GreenLake Cloud Platform partners with all of HPE and powers HPE’s transformation as a true cloud-native provider. It’s the cloud that comes to you!




On the GLCP team you will build innovative cloud platform capabilities that enables the delivery of rich HW and SW SaaS solutions to customers.




Who You Are




You are a dynamic, driven professional with a passion for success – yours, your company’s, and your customers. You bring knowledge and expertise in high-performance computing, cloud computing, or related technical fields, strong communication and collaboration skills, and you always conduct yourself with the highest professionalism and integrity.




Job Family Definition




Customer Solution Centers are made up of teams that provide remote (offsite) service; customer access, pre-sales, post-sales, and service delivery. Technical teams focus is to solve various business systems and applications problems for customers, onsite engineering personnel and Authorized Service Providers on standard, specialized or complex systems.




Management Level Definition




Applies advanced subject matter knowledge to solve complex business issues and is regarded as a subject matter expert. Frequently contributes to the development of new ideas and methods. Works on complex problems where analysis of situations or data requires an in-depth evaluation of multiple factors. Leads and/or provides expertise to functional project teams and may participate in cross-functional initiatives. Acts as an expert providing direction and guidance to process improvements and establishing policies. Frequently represents the organization to external customers/clients. Exercises significant independent judgment to determine best method for accomplishing work and achieving objectives. May provide mentoring and guidance to lower level employees.




What You’ll Do




Successfully resolve technical issues (hardware and software) from incoming internal or external businesses and end user's contacts and proactive notification systems.
Respond to service, product, technical, and customer- relations questions on subjects such as features, specifications, and repairs on current and discontinued products, parts, and options, based on customer entitlement (warranty through mission- critical). .
Proactively assist internal or external businesses and end users to avoid or reduce problem occurrence.
Ability to act as a mentor and guide other employees. Ability to provide direction and guidance to process improvements.
Ability to articulate clearly, recommend and explain resolutions /clients.
Understand and utilize ITIL.
Represent the company in a face to face customer location visit, industry conference/trade show, vendor meeting, etc.




Education And Experience Required




First Level University degree: a) technical, b) non-technical (i.e., Bachelor of Arts/ Science). Typically 3-4 year completion beyond High School level, BA/BS or equivalent experience.
5-7 years experience in relevant technologies and customer environments.
Relevant industry qualification where applicable.




What You Need To Bring




Bigdata/Hadoop Administrator/ Linux with Red Hat Certified in Administration
Debug the issue on Hadoop/Debug the processes in Linux
Hadoop Admin, Hive, hbase, Yarn, Pig, Spark, Debugging, Log Analysis, Linux- OS - Mandate
Solving Memory Issues Excellent verbal and written communication skills in language to be supported.
Advanced troubleshooting skills in a technical environment.
Excellent analytical and problem solving skills.
We are looking for you to join our team as a Kubernetes Engineer to design,
build and implement cloud-native architectures with Kubernetes and related technologies for us.
Responsible for overall Docker & Kubernetes setup, configuration and Architecture.
Configuring and maintaining/ supporting a large scale Docker based environment using kubernetes.
Troubleshoot and resolve issues within the Docker and kubernetes environment.
Ensure proper operational aspects including monitoring, reporting, backup for both Docker hosts and associated images and containers.
Good knowledge of Hadoop Architecture and understanding of distributed systems and distributed computation.
Good Understanding of Linux and Networking concepts.
General operational expertise such as good troubleshooting skills, understanding of systems capacity, bottlenecks, basic of memory, cpu, OS, storage and networks.
Intermediate Shell Scripting skills and Basic programming skills ideally in Java or Python
Excellent oral and written communication skills with multi-tasking ability. Should be a self-starter who is excited about learning new technology. Self-driven, Ability to work independently and as part of a team with proven track record
Open to working non-standard hours (Night Shifts) including weekends.




What We Can Offer You




A competitive salary and extensive social benefits




Diverse and dynamic work environment




Work-life balance and support for career development




An amazing life inside the element!




Want to know more about how you can make your mark with us?




Then let’s stay connected!




https://www.facebook.com/HPECareers




https://www.instagram.com/HPECareers/




https://twitter.com/HPE_Careers




#India #services, #hpefs, #pns and #zerto




HPE is an Equal Employment Opportunity/Veterans/Disabled/LGBT and Affirmative Action employer. We are committed to diversity and building a team that represents a variety of backgrounds, perspectives, and skills. Our goal is to be one global diverse team that is representative of our customers, in an inclusive environment where we can continue to innovate and grow together.




Job




Services




Job Level




Expert




Hewlett Packard Enterprise is EEO F/M/Protected Veteran/ Individual with Disabilities.




HPE will comply with all applicable laws related to employer use of arrest and conviction records, including laws requiring employers to consider for employment qualified applicants with criminal histories.","['Analytical Skills', 'Communication', 'Problem Solving', 'Python (Programming Language)', 'Emerging Technologies', 'Java', 'Scripting', 'Shell Scripting', 'Troubleshooting', 'Written Communication']"
5,Network Engineer,Tachyon Security BV," Bengaluru, Karnataka, India ","About the job

Tachyon Security is looking for Network Engineers who possess a passion for Network Operations Surveillance and Support.

Job Responsibilities:

Your day-to-day activities may be modified to suit business requirements that aligns with your professional strengths; however, you can expect a variety of following assignments:

Respond quickly and effectively to network issues, incidents and outages.
Perform system maintenance and upgrade tasks.
Use/Configure network monitoring tools proactively to identify capacity, performance and availability issues before service degradation occurs.
Maintenance of technical documentations, network diagrams, follow processes and procedures.
Proactively action tickets in the Network Operations Team’s queues and provide updates in accordance with company-defined best practice.
Effective and prompt communications with clients and internal staff/management
Generate and maintain operational process and training documentation
Provide input to constantly improve our products and services to add value for our customers and shareholders
Ability to participate in 24 x 7 out-of-hours rota as required.

Skill Set Required:

Bachelor of Science Degree in Computer Science or related field/MCA
2 - 3 years hands-on experience with System, Network, or Security Administration including firewall
Relevant certifications in System Administration, Networking, and/or Security
Ability to demonstrate a detailed knowledge of IP networking, Routing & Switching, System Administration, and Information Security.
Clear, logical and persuasive communication skills with an ability to work closely with executives and employees at all levels
Exposure to Fortinet & Cisco Security Products

Preferred:

Specialized knowledge in Network Security Products especially Firewall
Able to demonstrate detailed knowledge and understanding of Security concepts.
Cisco CCNP/Fortinet NSE4 certification and/or relevant skillset preferred

Why explore a career at Tachyon Security

We offer flexible schedules and ensure work-life balance. With us, you will get ground-breaking work opportunities and great company culture. We have a passionate team who are provided with abundant training and professional development!","['Cisco Security', 'Computer Network Operations', 'Cyber-security', 'IP Networking', 'Information Security', 'Network Monitoring Tools', 'Network Security', 'Operations', 'Routing', 'Security Administration']"
6,Software Engineer 4,Juniper Networks," Bengaluru, Karnataka, India ","About the job
The Software Test Engineer is responsible for architecting test scenarios, test topologies and automation framework, and test case automation for the features under test including testing around various customers used cases scenarios. The engineer needs to work and collaborate with the development engineers to understand the technology and features in depth before testing them. Also support them during the analysis & the bugs fixes. This requires in-depth understanding of technology, technical skill set and extensive experience in testing various networking technologies like PTP, SyncE, L2/L3 protocols..




You will be responsible for :




Understanding and reviewing the software functional specification & unit test plan
Come up with a comprehensive test strategy and test plan based on the feature to be test
Manual testing, reporting defects in feature and work closely with development in narrowing down the issue
Automation of the test cases using automation library
Build test topologies
Work with cross-functional teams.
Work on features design and specs and help in designing details test plan at solution level




Job Requirements :




BE/B-TECH/M-Tech with minimum of 7 years of networking experience
Should have excellent understanding on testing methodologies.
Highly motivated and self driven
Excellent and in-depth understanding of the PTP protocol and Synchronous Ethernet (SYNCE) -
Good understanding of PTP packet flow for Timing and synchronization.
In depth understanding of T-GM, T-BC, T-TSC , T-TC mode of operations and 5G fronthaul timing.
ITU-T profiles G.8275.1, G.8275.2,G.8273.3, 1588V2 profiles, Media profiles and Hybrid profiles.
Mastery of commercial networking test equipment like Agilent N2X / IXIA / Spirent and Paragon test equipment and good understanding of G.8273.2 conformance and performance tests.
Good understanding on SYNCE, BITS E1/T1, GPS, GNSS
Demonstrate proficiency in a programming language preferably Python, Perl or Shell scripts, TCL/TK.
Good knowledge of the TCP/IP and L2 & L3 protocols




#TestEngineeringIndia


","['Software Development', 'Software Testing', 'Global Navigation Satellite System (GNSS)', 'Internet Protocol Suite (TCP/IP)', 'L2/L3 protocols', 'Manual Testing', 'PTP', 'Satellite Systems Engineering', 'Technical Architecture', 'Test Scenarios']"
7,Software Engineer 4,Juniper Networks," Bengaluru, Karnataka, India ","About the job
The Software Test Engineer is responsible for architecting test scenarios, test topologies and automation framework, and test case automation for the features under test including testing around various customers used cases scenarios. The engineer needs to work and collaborate with the development engineers to understand the technology and features in depth before testing them. Also support them during the analysis & the bugs fixes. This requires in-depth understanding of technology, technical skill set and extensive experience in testing various networking technologies like PTP, SyncE, L2/L3 protocols..




You will be responsible for :




Understanding and reviewing the software functional specification & unit test plan
Come up with a comprehensive test strategy and test plan based on the feature to be test
Manual testing, reporting defects in feature and work closely with development in narrowing down the issue
Automation of the test cases using automation library
Build test topologies
Work with cross-functional teams.
Work on features design and specs and help in designing details test plan at solution level




Job Requirements :




BE/B-TECH/M-Tech with minimum of 7 years of networking experience
Should have excellent understanding on testing methodologies.
Highly motivated and self driven
Excellent and in-depth understanding of the PTP protocol and Synchronous Ethernet (SYNCE) -
Good understanding of PTP packet flow for Timing and synchronization.
In depth understanding of T-GM, T-BC, T-TSC , T-TC mode of operations and 5G fronthaul timing.
ITU-T profiles G.8275.1, G.8275.2,G.8273.3, 1588V2 profiles, Media profiles and Hybrid profiles.
Mastery of commercial networking test equipment like Agilent N2X / IXIA / Spirent and Paragon test equipment and good understanding of G.8273.2 conformance and performance tests.
Good understanding on SYNCE, BITS E1/T1, GPS, GNSS
Demonstrate proficiency in a programming language preferably Python, Perl or Shell scripts, TCL/TK.
Good knowledge of the TCP/IP and L2 & L3 protocols




#TestEngineeringIndia


","['Software Development', 'Software Testing', 'Global Navigation Satellite System (GNSS)', 'Internet Protocol Suite (TCP/IP)', 'L2/L3 protocols', 'Manual Testing', 'PTP', 'Satellite Systems Engineering', 'Technical Architecture', 'Test Scenarios']"
8,Software Engineer 4,Juniper Networks," Bengaluru, Karnataka, India ","About the job
The Software Test Engineer is responsible for architecting test scenarios, test topologies and automation framework, and test case automation for the features under test including testing around various customers used cases scenarios. The engineer needs to work and collaborate with the development engineers to understand the technology and features in depth before testing them. Also support them during the analysis & the bugs fixes. This requires in-depth understanding of technology, technical skill set and extensive experience in testing various networking technologies like PTP, SyncE, L2/L3 protocols..




You will be responsible for :




Understanding and reviewing the software functional specification & unit test plan
Come up with a comprehensive test strategy and test plan based on the feature to be test
Manual testing, reporting defects in feature and work closely with development in narrowing down the issue
Automation of the test cases using automation library
Build test topologies
Work with cross-functional teams.
Work on features design and specs and help in designing details test plan at solution level




Job Requirements :




BE/B-TECH/M-Tech with minimum of 7 years of networking experience
Should have excellent understanding on testing methodologies.
Highly motivated and self driven
Excellent and in-depth understanding of the PTP protocol and Synchronous Ethernet (SYNCE) -
Good understanding of PTP packet flow for Timing and synchronization.
In depth understanding of T-GM, T-BC, T-TSC , T-TC mode of operations and 5G fronthaul timing.
ITU-T profiles G.8275.1, G.8275.2,G.8273.3, 1588V2 profiles, Media profiles and Hybrid profiles.
Mastery of commercial networking test equipment like Agilent N2X / IXIA / Spirent and Paragon test equipment and good understanding of G.8273.2 conformance and performance tests.
Good understanding on SYNCE, BITS E1/T1, GPS, GNSS
Demonstrate proficiency in a programming language preferably Python, Perl or Shell scripts, TCL/TK.
Good knowledge of the TCP/IP and L2 & L3 protocols




#TestEngineeringIndia


","['Software Development', 'Software Testing', 'Global Navigation Satellite System (GNSS)', 'Internet Protocol Suite (TCP/IP)', 'L2/L3 protocols', 'Manual Testing', 'PTP', 'Satellite Systems Engineering', 'Technical Architecture', 'Test Scenarios']"
9,Software Engineer 4,Juniper Networks," Bengaluru, Karnataka, India ","About the job
The Software Test Engineer is responsible for architecting test scenarios, test topologies and automation framework, and test case automation for the features under test including testing around various customers used cases scenarios. The engineer needs to work and collaborate with the development engineers to understand the technology and features in depth before testing them. Also support them during the analysis & the bugs fixes. This requires in-depth understanding of technology, technical skill set and extensive experience in testing various networking technologies like PTP, SyncE, L2/L3 protocols..




You will be responsible for :




Understanding and reviewing the software functional specification & unit test plan
Come up with a comprehensive test strategy and test plan based on the feature to be test
Manual testing, reporting defects in feature and work closely with development in narrowing down the issue
Automation of the test cases using automation library
Build test topologies
Work with cross-functional teams.
Work on features design and specs and help in designing details test plan at solution level




Job Requirements :




BE/B-TECH/M-Tech with minimum of 7 years of networking experience
Should have excellent understanding on testing methodologies.
Highly motivated and self driven
Excellent and in-depth understanding of the PTP protocol and Synchronous Ethernet (SYNCE) -
Good understanding of PTP packet flow for Timing and synchronization.
In depth understanding of T-GM, T-BC, T-TSC , T-TC mode of operations and 5G fronthaul timing.
ITU-T profiles G.8275.1, G.8275.2,G.8273.3, 1588V2 profiles, Media profiles and Hybrid profiles.
Mastery of commercial networking test equipment like Agilent N2X / IXIA / Spirent and Paragon test equipment and good understanding of G.8273.2 conformance and performance tests.
Good understanding on SYNCE, BITS E1/T1, GPS, GNSS
Demonstrate proficiency in a programming language preferably Python, Perl or Shell scripts, TCL/TK.
Good knowledge of the TCP/IP and L2 & L3 protocols




#TestEngineeringIndia


","['Software Development', 'Software Testing', 'Global Navigation Satellite System (GNSS)', 'Internet Protocol Suite (TCP/IP)', 'L2/L3 protocols', 'Manual Testing', 'PTP', 'Satellite Systems Engineering', 'Technical Architecture', 'Test Scenarios']"
