,job_title,company,location,job_desc,skills
0,QA,Volvo Cars," Bengaluru, Karnataka, India ","About the job
We’re creating our own future




At Volvo Cars, we are making bold digital visions come true. We aim to be the leader in the automotive world by creating a digital ecosystem built around making our customers' lives less complicated. What we all have in common at Volvo Cars is our passion for protecting lives, our endless curiosity, and our dedication to create a new future for the automotive industry. Our human centric focus is what separates us from all other car companies.




What We Offer




This role is within our Global Online Engineering team, which has the goal to provide digital technologies to support online car sales and solutions globally. You will be part of the Learn and Shop cluster with the goal to s upport our best in class digital online sales systems.




Main Responsibilities




You will work with the team to deliver QA through the development and release cycle with your team. You will be working to establish QA practices, working closely with dev, platform, and CI/CD teams. You take a key role in delivering quality of the product(s) for both functional and non-functional requirements.




Designing test plans, procedures, scenarios, and scripts to accurately assess new products or software updates according to requirements and product vision.
Identify, analyze, and create detailed records of problems that appear during testing, such as software defects, bugs, functionality issues, and output errors, and work directly with software developers to find solutions and develop retesting procedures.
Controlling and managing difficulties that arise in different projects during QA activities
Executing test plans, and tests across different systems & environments.
Track problems, resolutions, and bug fixes throughout testing and create a comprehensive database of defects and successful mitigation techniques.
Providing QA insight, direction, strategy and hands-on assistance to other members of the team.
Identify the scope of the testing required for a particular release.
Creating detailed, step-by-step documentation of test procedures for each phase or project as needed to ensure replicability, compliance with standards, and growth of company knowledge base.
Providing guidance for performance test initiatives that take a true end-to-end focus on ensuring client side, server tiers, database and data integration jobs are performing as expected.
Communicate clearly and effectively with test personnel, users, developers, and clients to facilitate quick resolution of problems and accurate documentation of successes.




Do you fit the profile?




You have a strong understanding of QA methodologies, life cycle and processes
You have hands on knowledge with Salesforce cloud solutions – marketing, sales & service.
You will examine end-to-end processes in addition to backend testing, ensuring quality is embedded throughout
You have experience of working closely with the product teams and translating product requirements into detailed test plans and test cases.
You are an expert in implementing and executing test plans and test cases.
Experience working on low-code platforms like Salesforce is a plus
Ability to effectively articulate technical challenges and solutions, deal well with ambiguous/undefined problems; ability to think abstractly.
A good team player and communication skills
Experience with agile scrum for at least 1 year.
Automation experience with Java Script and Webdriver IO
Experience with Azure Devops and API Testing with Postman or another tool




Who You Are And What You Believe In
Embraces We Culture
You are customer focused and have a solution-oriented mindset
You excel in collaboration, both with internal and external stakeholders, and are passionate about building a work environment based on trust
Curious
You are passionate about software development and you have an interest in staying up to date with new technologies
You are self-propelled and have an innovative and creative mind
Agile Mindset
You have a strong belief in agile ways of working especially in accordance with SAFe
You are flexible, open to new ideas and have a strong focus on continuous improvement
Communication
You are an avid communicator, and are fluent in both spoken and written English
You can build compelling and interesting presentations supporting your ideas
You manage stakeholder expectations at various levels with ease
You navigate confidently in a multi-cultural environment




Who are we?




Everything we do starts with people. Our purpose is to provide freedom to move, in a personal, sustainable and safe way. We are committed to simplifying our customers’ lives by offering better technology solutions that improve their impact on the world and bringing the most advanced mobility innovations to protect them, their loved ones and the people around them.




Volvo Cars’ continued success is the result of a collaborative, diverse, and inclusive working environment. The people of Volvo Cars are committed to making a difference in our world. Today, we are one of the most well-known and respected car brands, with over 40,000 employees across the globe. We believe in bringing out the best in each other and harnessing the true power of people. At Volvo Cars your career is designed around your talents and aspirations so you can reach your full potential. Join us on a journey of a lifetime as we create safety, autonomous driving and electrification technologies of tomorrow.","['Communication', 'Quality Assurance', 'API Testing', 'Postman API', 'Product Requirements', 'Software Updates', 'Solution-oriented', 'Test Cases', 'Test Planning', 'WebDriver']"
1,Advanced Software Engr,Honeywell," Madurai, Tamil Nadu, India ","About the job
Innovate to solve the world's most important challenges

Be part of a team that designs, develops and integrates highly complex software functions within Honeywell[SBG]. You will use your experience and judgment to plan and accomplish goals. You will also generate innovative solutions in work situations; trying different and novel ways to deal with problems and opportunities.

Key Responsibilities

Requirements and design
Software architecture and coding
Integration
Certification
Test
Feature Definition
Customer Support
Verification and Validation
Ability to code in multiple languages
Analytical skills & software development skills

YOU MUST HAVE

Bachelors degree in Engineering or Computer Science

WE VALUE

Understanding various software development lifecycle
Some relevant experience
Knowledge of software configuration management and change management practices
Diverse and global teaming and collaboration
Effective communicator
Wide degree of creativity and latitude
Individuals who are self-motivated and able to work with little supervision, who consistently take the initiative to get things done, do things before being asked by others or forced to by events.
Ability to consistently make timely decisions even in the face of complexity, balancing systematic analysis with decisiveness.
Can quickly analyze, incorporate and apply new information and concepts.

Additional Information

JOB ID: HRD190874
Category: Engineering
Location: ELCOT- SEZ, PLOT NO.1, ILANDAIKULAM RING ROAD,NEAR : PANDIKOIL, KARUPPAYURANI POST,Madurai,TAMIL NADU,625020,India
Exempt
Supply Chain (CHINA)","['Communication', 'Computer Science', 'Software Development', 'Configuration Management', 'Decisiveness', 'Feature Definition', 'Software Architecture', 'Software Configuration Management', 'Software Development Life Cycle (SDLC)', 'Verification and Validation (V&V)']"
2,Infrastructure Specialist - Middleware (MQ),Kyndryl India, Greater Kolkata Area ,"About the job
Why Kyndryl
Kyndryl is a market leader that thinks and acts like a start-up. We design, build, manage, and modernize the mission-critical technology systems that the world depends on every day. So why work at Kyndryl?

We are always moving forward – always pushing ourselves to go further in our efforts to build a more equitable, inclusive world for our employees, our customers, and our communities. We invest heavily in you – not only through learning, training, and career development, but also through the flexible working practices and stellar benefits that help you grow and progress long-term. And we give back – from planting 90,000 trees in our first 3 months as part of our One Tree Planted initiative to the Corporate Social Responsibility and Environment, Social and Governance practices embedded within everything we do, we are committed to powering human progress in an ethical, sustainable way.

Your Role And Responsibilities

Candidate will be responsible for taking care of all MQ admin functions and support.
Responsible for product & Fix pack installations and version upgrades / migration of WebSphere MQ.
Evaluate patches and fixes as needed for potential implementation.
Participate as a subject matter and technical expert in technical reviews of MQ applications.
Participate in capacity and disaster recovery planning and asset management.
Define hardware configurations for new and existing MQ applications.
Should be able to manage, configure and monitor MQ Listeners, Command Servers, Channel initiators, Trigger Monitors, MQ Log files & Dead Letter Queues.
Should be strong with MQ Client applications & MQ client configuration.
Able to setup security for WebSphere MQ queues & other objects for data access and for administration using role-based security.
Strong Troubleshooting knowledge.
Assist in Load Balancing and Firewall setups.
Create complex project plans, perform impact analyses solve/work high impact problems/projects, and provide resolutions to restore services.
Ability to operate with a limited level of direct supervision.
Work with architecture, business and delivery teams to determine strategic direction for Middleware platform.


Required Technical And Professional Expertise

6 to 10 years of experience as an Websphere MQ Admin.
Experience with installation, maintenance, and support of Websphere MQ on Windows and Linux/UNIX platforms.
Experience in MQ Migration from version 7.x, 8.x to 9.x.
Experience in IIB administration.
Experience with security hardening of WebSphere MQ to include SSL encryption and Authority/Authentication Records.
Experience implementing or overseeing the implementation of all MQ objects.
Strong interpersonal skills, as well as excellent communication skills, verbal and written to both technical and non-technical audiences that are in a geographically dispersed environment (conference calls, Teams, Slack, face-to-face).
Ability to work in a collaborative environment and on multiple assignments at once.
Experience functioning & executing work in a fast-paced iterative environment such as Agile.
Demonstrated initiative to recommend process improvements and demonstrated creative thinking.
Demonstrated self-motivation and the ability to grasp concepts quickly.
Ability to guide / mentor other Administrators and troubleshoot issues.


Preferred Technical And Professional Experience

General knowledge of scripting (Perl, Shell, etc), Cloud technologies, Azure, AWS etc for messaging platforms.
IBM Sterling File Gateway, support and administration.
Knowledge on other Middleware technologies.
Experience using JIRA, Service now etc.
Unique combination of being business-minded and highly analytical while also having a strong and deep technical background on middleware technologies.


Required Education
Bachelor's Degree

Preferred Education
Master's Degree

Country/Region
India

State / Province
MULTIPLE

City / Township / Village
MULTIPLE CITIES

City / Township / Village 1
IN_KA_BANGALORE

City / Township / Village 2
IN_TN_CHENNAI

City / Township / Village 3
IN_UP_NOIDA

City / Township / Village 4
IN_MH_PUNE

Being You @ Kyndryl
Diversity is a whole lot more than what we look like or where we come from, it’s how we think and who we are. We welcome people of all cultures, backgrounds, and experiences. But we’re not doing it single-handily: Our Kyndryl Inclusion Networks (KINs) are only one of many ways we create a workplace where all Kyndryls can find and provide support and advice. This dedication to welcoming everyone into our company means that Kyndryl gives you – and everyone next to you – the ability to bring your whole self to work, individually and collectively, and support the activation of our equitable culture. That’s the Kyndryl Way.

Other Things To Know
When applying to jobs of your interest, we recommend that you do so for those that match your experience and expertise. Our recruiters advise that you apply to not more than 3 roles in a year for the best candidate experience.

For additional information about location requirements, please discuss with the recruiter following submission of your application.

Primary Job Category
Technical Specialist

Role ( Job Role )
Infrastructure Specialist

Employment Type
Full-Time

Contract type
Regular

Position Type
Early Professional

Travel Required
No Travel

Company
(Y030) Kyndryl Solutions Private Limited

Is this role a commissionable/sales incentive based position?
No","['Audio Conferencing', 'Authentication', 'Encryption', 'Hardening', 'Message Queue', 'Slack', 'Technical Reviews', 'Transport Layer Security (TLS)', 'WebSphere', 'WebSphere MQ']"
3,Software Engineering Professional,BT Group," Bengaluru, Karnataka, India ","About the job
Job Req ID:




8385




Posting Date:




15-Feb-2023




Function:




Software Engineering




Location:




RMZ Ecoworld, Devarabeesanahal, Bengaluru, India




Salary:




Competitive




About BT




BT has a key role in British society, fostering change and leading technology innovation. From delivering the Olympics, to supporting the emergency services, to investing more into research than any other UK technology company, we take pride in everything we do - and in the people who work here.




We're now a global company operating at the forefront of the information age, employing 90,000 people in 180 countries. And we're on a mission. Guided by our core values of Personal, Simple and Brilliant our goal is to help customers, communities and businesses overcome barriers and release their potential.




So, if you're interested in the power of potential, why not join us today and release yours? You can read more here about what it's like to work at BT.




About This Role




This role is for a Software Engineering Professional, a Full Stack Software Developer within BT Digital’s Global CIO unit




The role is accountable to ensure Delivery Excellence by driving on Design Assurance, Technology Transformation, Development, DevOps Toolchains, Data Analytics and Automation as per S/W Engineering Best Practices




You'll have the following responsibilities




As a Software Engineering Professional, you are responsible for the Design and Development of multiple full stack IT Software Systems on
You have hands on coding experience on Technologies mainly JAVA, Springboot, Microservices Architecture, Kafka, Spark, MongoDB and/or can upskill yourself in these depending upon the program/project needs
Knowledge on Cloud Native Technologies in AWS is an added advantage.
Hands on Knowledge on DevOps Toolchains as well is desirable but not mandatory
You can work both as an IC as well as a Team Player to showcase 'what good is' by being an expert engineer.
You will be expected to demonstrate best practices in refining requirements, design solutions, develop code, do peer reviews, Test, and deploy applications as a Senior Full Stack Developer.
You are a role model for the other Software Engineering Professionals or Junior Members in the team with a responsibility to set a high bar for quality standards.
As part of this responsibility, depending upon need you may provide technical coaching and mentoring to other junior Team members and new onboards.
As a Developer, you continuously evaluate areas of Technology, Process and Standards to identify improvement opportunities and areas of Optimisation.
You are a key knowledge champion and seek every opportunity to share your experience across the department.
You will be required to represent your team in meetings with stakeholders, contributing to their strategy and direction.
As a technology enthusiast you keep up to date with the latest developments in the IT industry and apply industry best practices to drive continuous improvement and innovation within BT.
You should be able to handle your tasks and responsibilities with some guidance and supervision from your seniors
You are a continuous learner and keep yourself updated with latest technology trends




You'll Have The Following Skills And Experience




You’re capable of doing Proof of Concepts out of Emerging Technology and Tooling from scratch to recommend feasible solutions to complex problems
You’re capable of taking complete ownership of Low-Level Design and Code for the Modules you are required to Develop and Maintain for New Change Requests and Enhancements/User Stories
You’re Capable to work in an Agile environment and have the learning orientation needed to be successful in the job by being a quick learner and you’re able to adapt to the organisational requirements and train/upskill yourself accordingly
Able to do Technical and Functional Code Reviews, walkthroughs and recommend simple and innovative solutions to complex business problems
Excellent written and verbal communication skills, communicating and influencing effectively
Quick 'Learn and Build' Attitude and able to work with little supervision or guidance
Always able to look at Delivery Optimisation ways via Automation
You’re capable to effectively and efficiently contribute to BT wide Professional Communities thus ensuring knowledge sharing from time to time based on the Organisational needs




Who Is The BT Group




We're the leading communications provider with customers in 180 countries. Across the world we enable customer's digital transformations so they can thrive. our focus is simple: be the global provider-of-choice for managed network and IT infrastructure services..","['Software Development', 'Change Requests', 'Code Review', 'Level Design', 'Low-Level Design', 'Peer Reviews', 'Software Systems', 'User Stories', 'WSE', 'Walkthroughs']"
4,Software Development (Flight Management System),Thales," Bengaluru, Karnataka, India ","About the job
Location: Bangalore, India

Thales people architect solutions that enable two-thirds of planes to take off and land safely. We create in-flight entertainment systems that engross 50 million fliers every year and we develop the avionics that control the world’s largest commercial aircrafts. Our simulators train the next generation of pilots for fighter jets, transporters and search and rescue helicopters. And, together, each and every member of our aerospace team makes a difference.

Thales is expanding its presence in India through the development a Group Engineering Competence Centre (ECC), reinforcing its position as a leader in all its markets. Launching in early 2019 in Bengaluru, the ECC will expand Thales’ footprint in its core business areas and cement its long-standing relationship with India. This ECC, the first of its kind in India, will focus on hardware, software and systems engineering capabilities for both the civil and defence sectors. India, and in particular Bengaluru, was chosen as the location for the new ECC due to the existing ecosystem – its proximity to the market, competence in research and development and abundance of skilled engineers. Both the needs of the local market and export markets will be catered for, meaning those who join Thales will have the opportunity of working on diverse projects with a high level of complexity, innovating in all the different markets we are present in. We’re inventing the future, right here, right now. By combining the curiosity to explore, the intelligence to question and the vision to create, together we’re transforming the world around us.

Within the matrix organization of the Engineering Competence Center, We are seeking an energetic individual with a passion for working with dynamic FMS environment and you will have the opportunity to make significant contributions to our Flight Management System.

Qualifications: B.Tech in Computer Science OR Electronics & Communication or related engineering discipline with 3 to 8 years of relevant experience.

Working experience in Defense\military\Aerospace products development is desirable.

Job Responsibilities

As a Software Engineer/Lead, you will be a major actor in the software development phases of avionics product. In more details:

Contribute across various activities of the V cycle, starting from deriving the requirements, devising the detailed design, code implementation and testing.
Work adopting to AGILE methodology and take active part in the AGILE ceremonies/retrospectives.
Adhere tothe DO178B/C standards
Quickly adapt to the new means, tools like GIT/BITBUCKET/JENKINS/JIRA/etc
Document the analysis/solution/risks/opportunities as part of the project
Communicate effectively on the project status and share the best practices in the team
Demonstrate the technical capabilities to understand the scope of the work, and transform the expectations into quality deliverables meeting the project performance targets (KPIs).
Demonstrate the global mindset and the customer commitment for successful execution of the project.
Table the Quality improvement thoughts and be proactive in improving the quality of the deliverables.

Minimum Skills/Experience

Should have minimum of 3 years up to 8 years in the software development for Avionics Embedded system.
Candidate should be strong in analytical and problem solving skills.
Should have good understanding of DO178B/C.
Experience in the various activities of the V cycle on deriving the requirements, devising the design, implementing the code and performing the unit/system level the testing.
Should be good in programming, and having a good understanding of OOPS concepts in ADA/C++ is a plus.
Experience on ADA95/2012 is a plus.
Should have experience in avionics domain on software development/testing for an embedded system.
Experience in Flight Management System software development/testing is a plus.
Knowledge of tools like GIT/BITBUCKET/JENKINS/JIRA is a plus.
Working experience using AGILE methodology is a plus.
Should be a quick learner, self-motivated and team player to work across the global teams.
Should demonstrate accountability to meet the project performance targets.

At Thales we provide CAREERS and not only jobs. With Thales employing 80,000 employees in 68 countries our mobility policy enables thousands of employees each year to develop their careers at home and abroad, in their existing areas of expertise or by branching out into new fields. Together we believe that embracing flexibility is a smarter way of working. Great journeys start here, apply now!","['Communication', 'Computer Science', 'Problem Solving', 'Software Development', 'Avionics', 'Detailed Design', 'Embedded Systems', 'Key Performance Indicators', 'Project Performance', 'Retrospectives']"
5,Software Engineering III-Java,JPMorgan Chase & Co.," Bengaluru, Karnataka, India ","About the job
As a member of our Software Engineering Group, we look first and foremost for people who are passionate around solving business problems through innovation and engineering practices. You'll be required to apply your depth of knowledge and expertise to all aspects of the software development lifecycle, as well as partner continuously with your many stakeholders on a daily basis to stay focused on common goals. We embrace a culture of experimentation and constantly strive for improvement and learning. You'll work in a collaborative, trusting, thought-provoking environment-one that encourages diversity of thought and creative solutions that are in the best interests of our customers globally.




Job Responsibilities




Design and develop complex, high quality, enterprise-transforming business applications.
Prepare software for deployment to production environments and assist in releases.
Guide junior developers on best development practices, perform code reviews, provide feedback and suggesting changes as necessary.
Respond to and resolve queries and issues reported in production.
Manage small projects independently and work as a team member on larger projects.
Be part of diverse, high energy teams focused on full life-cycle development.
Perform other related duties as required and assigned.
Demonstrate behaviors which are aligned with the organization's desired culture and values.




Required Qualifications, Capabilities, And Skills




Experience in Design, analysis, architecture and development of applications using Java/J2EE, Spring boot, REACT JS.
Experience in TDD and Unit test frameworks
Experience in developing RESTful services . Solid understanding of REST concepts and micro services architecture.
Strong working knowledge of Threading and parallel programming.
Strong technical expertise in the Relational Databases - MSSQL.
Expert knowledge in Object Oriented Principles and Design Patterns.
Thorough understanding of Agile methodologies - mainly Scrum.
Knowledge of CI/CD pipelines like Jenkins.
Experience with sprint planning and tools - JIRA.
Experience in working with GIT Source control tool.
Experience in working with Release Management tools like ServiceNow.
Working knowledge of Java 8 and above




Preferred Qualifications, Capabilities, And Skills




Cloud - Working knowledge of AWS deployment/hosting would be preferrable.
Knowledge of UI frameworks like React would be a great plus.




JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management.




We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs.","['Jakarta EE', 'Java', 'Microservices', 'Release Management', 'Representational State Transfer (REST)', 'ServiceNow', 'Spring Boot', 'Spring Framework', 'Sprint Planning', 'Unit Testing']"
6,HTML Developer,LTIMindtree," Chennai, Tamil Nadu, India ","About the job

We are looking for Dotnet Professionals (Senior Engineer/ Specialist).

Experience - 7 to 10 years.




Job Description




# 8 years hands-on knowledge in HTML5, CSS, Javascript, JQuery. Must Have

# Ability, enthusiasm and the drive to learn and understand new things especially technology.




Must Have

# Good communication both within team and ability to converse and articulate with external stake holders.

# Proficient in at least one high level Programming language like C, J ava, C# or VB.Net. # Good to have

# Knowledge of conditional statements like If, case, switch statements and variables. # Must have

# Good debugging and error handling skills. # Must have

# Experience on MS Office suite of products, Adobe Acrobat. # Must have

# Familiarity on XML including knowledge on XSLT. # Good to know

# Basic knowledge of SQL with the ability of writing queries to obtain a data set. # Must Have

# Ability to visualize document formats like PDF, DOC, and PS with respect to form and structure.

Good to Have

# Ability to understand and translate business requirements to deliverables.

# Knowledge of JIRA.




Thanks & Regarding

Viveka Sharma","['.NET Framework', 'C#', 'Cascading Style Sheets (CSS)', 'HTML', 'HTML5', 'JavaScript', 'SQL', 'Visual Basic .NET (VB.NET)', 'XML', 'jQuery']"
7,HTML Developer,LTIMindtree," Chennai, Tamil Nadu, India ","About the job

We are looking for Dotnet Professionals (Senior Engineer/ Specialist).

Experience - 7 to 10 years.




Job Description




# 8 years hands-on knowledge in HTML5, CSS, Javascript, JQuery. Must Have

# Ability, enthusiasm and the drive to learn and understand new things especially technology.




Must Have

# Good communication both within team and ability to converse and articulate with external stake holders.

# Proficient in at least one high level Programming language like C, J ava, C# or VB.Net. # Good to have

# Knowledge of conditional statements like If, case, switch statements and variables. # Must have

# Good debugging and error handling skills. # Must have

# Experience on MS Office suite of products, Adobe Acrobat. # Must have

# Familiarity on XML including knowledge on XSLT. # Good to know

# Basic knowledge of SQL with the ability of writing queries to obtain a data set. # Must Have

# Ability to visualize document formats like PDF, DOC, and PS with respect to form and structure.

Good to Have

# Ability to understand and translate business requirements to deliverables.

# Knowledge of JIRA.




Thanks & Regarding

Viveka Sharma","['.NET Framework', 'C#', 'Cascading Style Sheets (CSS)', 'HTML', 'HTML5', 'JavaScript', 'SQL', 'Visual Basic .NET (VB.NET)', 'XML', 'jQuery']"
8,HTML Developer,LTIMindtree," Chennai, Tamil Nadu, India ","About the job

We are looking for Dotnet Professionals (Senior Engineer/ Specialist).

Experience - 7 to 10 years.




Job Description




# 8 years hands-on knowledge in HTML5, CSS, Javascript, JQuery. Must Have

# Ability, enthusiasm and the drive to learn and understand new things especially technology.




Must Have

# Good communication both within team and ability to converse and articulate with external stake holders.

# Proficient in at least one high level Programming language like C, J ava, C# or VB.Net. # Good to have

# Knowledge of conditional statements like If, case, switch statements and variables. # Must have

# Good debugging and error handling skills. # Must have

# Experience on MS Office suite of products, Adobe Acrobat. # Must have

# Familiarity on XML including knowledge on XSLT. # Good to know

# Basic knowledge of SQL with the ability of writing queries to obtain a data set. # Must Have

# Ability to visualize document formats like PDF, DOC, and PS with respect to form and structure.

Good to Have

# Ability to understand and translate business requirements to deliverables.

# Knowledge of JIRA.




Thanks & Regarding

Viveka Sharma","['.NET Framework', 'C#', 'Cascading Style Sheets (CSS)', 'HTML', 'HTML5', 'JavaScript', 'SQL', 'Visual Basic .NET (VB.NET)', 'XML', 'jQuery']"
9,HTML Developer,LTIMindtree," Chennai, Tamil Nadu, India ","About the job

We are looking for Dotnet Professionals (Senior Engineer/ Specialist).

Experience - 7 to 10 years.




Job Description




# 8 years hands-on knowledge in HTML5, CSS, Javascript, JQuery. Must Have

# Ability, enthusiasm and the drive to learn and understand new things especially technology.




Must Have

# Good communication both within team and ability to converse and articulate with external stake holders.

# Proficient in at least one high level Programming language like C, J ava, C# or VB.Net. # Good to have

# Knowledge of conditional statements like If, case, switch statements and variables. # Must have

# Good debugging and error handling skills. # Must have

# Experience on MS Office suite of products, Adobe Acrobat. # Must have

# Familiarity on XML including knowledge on XSLT. # Good to know

# Basic knowledge of SQL with the ability of writing queries to obtain a data set. # Must Have

# Ability to visualize document formats like PDF, DOC, and PS with respect to form and structure.

Good to Have

# Ability to understand and translate business requirements to deliverables.

# Knowledge of JIRA.




Thanks & Regarding

Viveka Sharma","['.NET Framework', 'C#', 'Cascading Style Sheets (CSS)', 'HTML', 'HTML5', 'JavaScript', 'SQL', 'Visual Basic .NET (VB.NET)', 'XML', 'jQuery']"
